因子,术数,组,原子,期望值
印星旺,bazi,63,结论,1
印星旺,bazi,63,依据,印旺衰从五行月令
印有气,bazi,64,"得令[正印,偏印]",1
印有气,bazi,64,结论,1
印有气,bazi,64,依据,印有气=得令或透干（命理通论）
印有气,bazi,65,"有根[正印,偏印]",1
印有气,bazi,65,"透[正印,偏印]",1
印有气,bazi,65,结论,1
印有气,bazi,65,依据,印有气=得令或透干（命理通论）
印有气,bazi,66,"透[正印,偏印]",1
印有气,bazi,66,结论,1
印有气,bazi,66,依据,印有气=得令或透干（命理通论）
印透,bazi,67,"透[正印,偏印]",1
印透,bazi,67,结论,1
印透,bazi,67,依据,印透干（事实）
官杀多,bazi,68,"得令[正官,七杀]",1
官杀多,bazi,68,结论,1
官杀多,bazi,68,依据,官杀多=官杀得月令而旺（《子平真诠》）
官杀多,bazi,69,"有根[正官,七杀]",1
官杀多,bazi,69,"透[正官,七杀]",1
官杀多,bazi,69,结论,1
官杀多,bazi,69,依据,官杀多=官杀得月令而旺（《子平真诠》）
官杀透,bazi,70,"透[正官,七杀]",1
官杀透,bazi,70,结论,1
官杀透,bazi,70,依据,官杀透干（事实）
官杀得令,bazi,71,"得令[正官,七杀]",1
官杀得令,bazi,71,结论,1
官杀得令,bazi,71,依据,官杀得月令（得令标记）
官杀有力,bazi,73,"得令[正官,七杀]",1
官杀有力,bazi,73,"现[正官,七杀]",1
官杀有力,bazi,73,结论,1
官杀有力,bazi,73,依据,官杀有力=现且得令或有根（命理通论）
官杀有力,bazi,74,"有根[正官,七杀]",1
官杀有力,bazi,74,"现[正官,七杀]",1
官杀有力,bazi,74,结论,1
官杀有力,bazi,74,依据,官杀有力=现且得令或有根（命理通论）
食伤透,bazi,75,"透[食神,伤官]",1
食伤透,bazi,75,结论,1
食伤透,bazi,75,依据,食伤透干（事实）
食伤有根,bazi,76,"有根[食神,伤官]",1
食伤有根,bazi,76,结论,1
食伤有根,bazi,76,依据,食伤通根（《渊海子平》秀气须通根）——学业 xue_101 用
食伤泄秀,bazi,77,"现[食神,伤官]",1
食伤泄秀,bazi,77,"直读[yongshen.fu_yi.qiangruo,身强]",1
食伤泄秀,bazi,77,结论,1
食伤泄秀,bazi,77,依据,身强食伤泄秀（《滴天髓》秀气流通）
财透,bazi,78,"透[正财,偏财]",1
财透,bazi,78,结论,1
财透,bazi,78,依据,财透干（事实）
财多,bazi,79,"得令[正财,偏财]",1
财多,bazi,79,结论,1
财多,bazi,79,依据,财多=财得月令而旺（《子平真诠》）
财多,bazi,80,"有根[正财,偏财]",1
财多,bazi,80,"透[正财,偏财]",1
财多,bazi,80,结论,1
财多,bazi,80,依据,财多=财得月令而旺（《子平真诠》）
财旺,bazi,81,"得令[正财,偏财]",1
财旺,bazi,81,结论,1
财旺,bazi,81,依据,财旺衰从五行月令（《子平真诠》）
财旺,bazi,82,"有根[正财,偏财]",1
财旺,bazi,82,"透[正财,偏财]",1
财旺,bazi,82,结论,1
财旺,bazi,82,依据,财旺衰从五行月令（《子平真诠》）
财旺,bazi,83,"透[正财,偏财]",1
财旺,bazi,83,结论,1
财旺,bazi,83,依据,财旺衰从五行月令（《子平真诠》）
财弱,bazi,84,"得令[正财,偏财]",0
财弱,bazi,84,"有根[正财,偏财]",0
财弱,bazi,84,"透[正财,偏财]",0
财弱,bazi,84,结论,1
财弱,bazi,84,依据,财弱=财失月令（《子平真诠》）
财透有根,bazi,85,"有根[正财,偏财]",1
财透有根,bazi,85,"透[正财,偏财]",1
财透有根,bazi,85,结论,1
财透有根,bazi,85,依据,财透干且有根，财气通门户（《滴天髓》）
财得令,bazi,86,"得令[正财,偏财]",1
财得令,bazi,86,结论,1
财得令,bazi,86,依据,财得月令（得令标记）
配偶星透干,bazi,87,透[配偶星],1
配偶星透干,bazi,87,结论,1
配偶星透干,bazi,87,依据,"配偶星透干为显（《渊海子平》""财星透干方为妻星得地""）"
配偶星藏支,bazi,88,藏[配偶星],1
配偶星藏支,bazi,88,结论,1
配偶星藏支,bazi,88,依据,配偶星藏支为待（命理通论）
配偶星得地,bazi,89,有根[配偶星],1
配偶星得地,bazi,89,结论,1
配偶星得地,bazi,89,依据,配偶星得地有根（命理通论）
正财透,bazi,90,透[正财],1
正财透,bazi,90,结论,1
正财透,bazi,90,依据,正财透干（稳定收入信号）
偏财透,bazi,91,透[偏财],1
偏财透,bazi,91,结论,1
偏财透,bazi,91,依据,偏财透干（投资/副业信号）
财星得地,bazi,92,"有根[正财,偏财]",1
财星得地,bazi,92,结论,1
财星得地,bazi,92,依据,财星得地有根（命理通论）——房产置业看财星
夫妻宫被冲,bazi,93,夫妻宫状态[冲],1
夫妻宫被冲,bazi,93,结论,1
夫妻宫被冲,bazi,93,依据,日支（夫妻宫）被六冲——婚姻波折（《三命通会》夫妻宫论；参考 mingli-skills phase6）
夫妻宫被合,bazi,94,夫妻宫状态[合],1
夫妻宫被合,bazi,94,结论,1
夫妻宫被合,bazi,94,依据,日支被六合——配偶心不在家/他人介入（《三命通会》；参考 mingli-skills phase6）
夫妻宫被刑,bazi,95,夫妻宫状态[刑],1
夫妻宫被刑,bazi,95,结论,1
夫妻宫被刑,bazi,95,依据,日支被刑——婚姻矛盾（《三命通会》；参考 mingli-skills phase6）
夫妻宫安静,bazi,96,夫妻宫状态[静],1
夫妻宫安静,bazi,96,结论,1
夫妻宫安静,bazi,96,依据,日支安静——婚姻稳定（《三命通会》；参考 mingli-skills phase6）
日支桃花,bazi,97,日支类型[桃花],1
日支桃花,bazi,97,结论,1
日支桃花,bazi,97,依据,日支四桃花（子午卯酉）——配偶貌好/有魅力（参考 mingli-skills phase6）
日支驿马,bazi,98,日支类型[驿马],1
日支驿马,bazi,98,结论,1
日支驿马,bazi,98,依据,日支四驿马（寅申巳亥）——配偶精明能干/善交际（参考 mingli-skills phase6）
日支墓库,bazi,99,日支类型[墓库],1
日支墓库,bazi,99,结论,1
日支墓库,bazi,99,依据,日支四墓库（辰戌丑未）——配偶朴素务实/踏实（参考 mingli-skills phase6）
财库现,bazi,100,财库现,1
财库现,bazi,100,结论,1
财库现,bazi,100,依据,日干财星五行之墓库支（金库丑/木库未/水库辰/火库戌/土库辰）在命局——《三命通会》财库论
财星入墓,bazi,101,财星入墓,1
财星入墓,bazi,101,结论,1
财星入墓,bazi,101,依据,财星坐墓库支（财藏库中——蓄财）——《三命通会》财库论
配偶星得令,bazi,102,得令[配偶星],1
配偶星得令,bazi,102,结论,1
配偶星得令,bazi,102,依据,配偶星得月令（夫/妻星得令有力——得令者夫星强，不轻断婚缘难成）（《子平真诠》月令司权）
配偶星不现,bazi,103,现[配偶星],0
配偶星不现,bazi,103,结论,1
配偶星不现,bazi,103,依据,配偶星不现=四柱无（命理通论）
配偶星受克,bazi,104,克者旺[配偶星],1
配偶星受克,bazi,104,得令[配偶星],0
配偶星受克,bazi,104,有根[配偶星],0
配偶星受克,bazi,104,透[配偶星],0
配偶星受克,bazi,104,结论,1
配偶星受克,bazi,104,依据,配偶星受克主婚损——克配偶星之五行得令而旺、配偶星失令（《滴天髓》）
配偶星混杂,bazi,105,现[偏财],1
配偶星混杂,bazi,105,现[正财],1
配偶星混杂,bazi,105,结论,1
配偶星混杂,bazi,105,依据,财星混杂=正偏财并见（命理通论）
父星旺,bazi,106,得令[偏财],1
父星旺,bazi,106,结论,1
父星旺,bazi,106,依据,父星（偏财）旺衰从五行月令
父星旺,bazi,107,有根[偏财],1
父星旺,bazi,107,透[偏财],1
父星旺,bazi,107,结论,1
父星旺,bazi,107,依据,父星（偏财）旺衰从五行月令
父星弱,bazi,108,得令[偏财],0
父星弱,bazi,108,有根[偏财],0
父星弱,bazi,108,透[偏财],0
父星弱,bazi,108,结论,1
父星弱,bazi,108,依据,父星（偏财）失令为弱
父星得地,bazi,109,有根[偏财],1
父星得地,bazi,109,结论,1
父星得地,bazi,109,依据,父星得地有根
母星旺,bazi,110,"得令[正印,偏印]",1
母星旺,bazi,110,结论,1
母星旺,bazi,110,依据,母星（印）旺衰从五行月令
母星旺,bazi,111,"有根[正印,偏印]",1
母星旺,bazi,111,"透[正印,偏印]",1
母星旺,bazi,111,结论,1
母星旺,bazi,111,依据,母星（印）旺衰从五行月令
母星弱,bazi,112,"得令[正印,偏印]",0
母星弱,bazi,112,"有根[正印,偏印]",0
母星弱,bazi,112,"透[正印,偏印]",0
母星弱,bazi,112,结论,1
母星弱,bazi,112,依据,母星（印）失令为弱
母星得令,bazi,113,"得令[正印,偏印]",1
母星得令,bazi,113,结论,1
母星得令,bazi,113,依据,母星得月令
母星得地,bazi,114,"有根[正印,偏印]",1
母星得地,bazi,114,结论,1
母星得地,bazi,114,依据,母星得地有根
子女星得地,bazi,115,有根[子女星],1
子女星得地,bazi,115,结论,1
子女星得地,bazi,115,依据,子女星得地（命理通论）
伤官克官,bazi,116,"克[伤官,正官]",1
伤官克官,bazi,116,得令[伤官],1
伤官克官,bazi,116,"直读[gender,female]",1
伤官克官,bazi,116,结论,1
伤官克官,bazi,116,依据,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,117,"克[伤官,正官]",1
伤官克官,bazi,117,有根[伤官],1
伤官克官,bazi,117,"直读[gender,female]",1
伤官克官,bazi,117,透[伤官],1
伤官克官,bazi,117,结论,1
伤官克官,bazi,117,依据,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
食伤克官,bazi,118,"克[伤官,官杀]",1
食伤克官,bazi,118,得令[伤官],1
食伤克官,bazi,118,"直读[gender,female]",1
食伤克官,bazi,118,结论,1
食伤克官,bazi,118,依据,女命伤官旺而克官杀（《三命通会》伤官见官）——只算伤官，食神制杀非克官（食神温和不生祸）
食伤克官,bazi,119,"克[伤官,官杀]",1
食伤克官,bazi,119,有根[伤官],1
食伤克官,bazi,119,"直读[gender,female]",1
食伤克官,bazi,119,透[伤官],1
食伤克官,bazi,119,结论,1
食伤克官,bazi,119,依据,女命伤官旺而克官杀（《三命通会》伤官见官）——只算伤官，食神制杀非克官（食神温和不生祸）
枭神夺食,bazi,120,"克[印,食伤]",1
枭神夺食,bazi,120,"得令[正印,偏印]",1
枭神夺食,bazi,120,"现[食神,伤官]",1
枭神夺食,bazi,120,结论,1
枭神夺食,bazi,120,依据,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,121,"克[印,食伤]",1
枭神夺食,bazi,121,"有根[正印,偏印]",1
枭神夺食,bazi,121,"现[食神,伤官]",1
枭神夺食,bazi,121,"透[正印,偏印]",1
枭神夺食,bazi,121,结论,1
枭神夺食,bazi,121,依据,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
羊刃驾杀,bazi,122,"含[shen_sha,羊刃]",1
羊刃驾杀,bazi,122,现[七杀],1
羊刃驾杀,bazi,122,结论,1
羊刃驾杀,bazi,122,依据,羊刃驾杀=羊刃+七杀（《三命通会》）
伤官见官,bazi,123,现[伤官],1
伤官见官,bazi,123,现[正印],0
伤官见官,bazi,123,现[正官],1
伤官见官,bazi,123,结论,1
伤官见官,bazi,123,依据,伤官见官无印通关则破（《三命通会》）
官印相生,bazi,124,"透[正印,偏印]",1
官印相生,bazi,124,"透[正官,七杀]",1
官印相生,bazi,124,结论,1
官印相生,bazi,124,依据,官印相生（《子平真诠》）
比劫夺财,bazi,125,"得令[正财,偏财]",0
比劫夺财,bazi,125,"得令[比肩,劫财]",1
比劫夺财,bazi,125,"有根[正财,偏财]",0
比劫夺财,bazi,125,"透[正财,偏财]",0
比劫夺财,bazi,125,结论,1
比劫夺财,bazi,125,依据,比劫旺而财弱，比劫夺财（《滴天髓》比劫夺财）
比劫夺财,bazi,126,"得令[正财,偏财]",0
比劫夺财,bazi,126,"有根[正财,偏财]",0
比劫夺财,bazi,126,"有根[比肩,劫财]",1
比劫夺财,bazi,126,"透[正财,偏财]",0
比劫夺财,bazi,126,"透[比肩,劫财]",1
比劫夺财,bazi,126,结论,1
比劫夺财,bazi,126,依据,比劫旺而财弱，比劫夺财（《滴天髓》比劫夺财）
比劫伤官,bazi,127,"得令[比肩,劫财]",1
比劫伤官,bazi,127,现[伤官],1
比劫伤官,bazi,127,结论,1
比劫伤官,bazi,127,依据,比劫旺+伤官，群劫夺财泄秀（命理通论）
比劫伤官,bazi,128,"有根[比肩,劫财]",1
比劫伤官,bazi,128,现[伤官],1
比劫伤官,bazi,128,"透[比肩,劫财]",1
比劫伤官,bazi,128,结论,1
比劫伤官,bazi,128,依据,比劫旺+伤官，群劫夺财泄秀（命理通论）
食伤生财,bazi,129,"有根[正财,偏财]",1
食伤生财,bazi,129,"透[食神,伤官]",1
食伤生财,bazi,129,结论,1
食伤生财,bazi,129,依据,食伤生财=食伤透而财有根（《滴天髓》食伤生财）
财坏印,bazi,130,"克[财,印]",1
财坏印,bazi,130,"透[正财,偏财]",1
财坏印,bazi,130,结论,1
财坏印,bazi,130,依据,财透干克印为实坏印（《渊海子平》财坏印）——财藏支虚克不坏印（财不透则印不受实克，官印相生仍可成学；0006 财藏大学 vs 0025 财透中学）
财印相战,bazi,131,"现[正印,偏印]",1
财印相战,bazi,131,"现[正财,偏财]",1
财印相战,bazi,131,结论,1
财印相战,bazi,131,依据,财印相战=财印并见（命理通论）
身强,bazi,132,"直读[yongshen.fu_yi.qiangruo,含身强]",1
身强,bazi,132,结论,1
身强,bazi,132,依据,引擎身强弱
身弱,bazi,133,"直读[yongshen.fu_yi.qiangruo,含身弱]",1
身弱,bazi,133,结论,1
身弱,bazi,133,依据,引擎身强弱
身中和,bazi,134,"直读[yongshen.fu_yi.qiangruo,中和]",1
身中和,bazi,134,结论,1
身中和,bazi,134,依据,引擎身强弱
身强中和,bazi,135,"直读[yongshen.fu_yi.qiangruo,含身强或中和]",1
身强中和,bazi,135,结论,1
身强中和,bazi,135,依据,引擎身强弱
从杀格,bazi,136,"直读[yongshen.ge_ju.ge_ju,含从杀]",1
从杀格,bazi,136,结论,1
从杀格,bazi,136,依据,引擎格局
月令格,bazi,137,"直读[yongshen.ge_ju.ge_ju,任意]",1
月令格,bazi,137,结论,1
月令格,bazi,137,依据,月令取格（《子平真诠》）
格神透干,bazi,138,格神透[],1
格神透干,bazi,138,结论,1
格神透干,bazi,138,依据,格神透干成格（《子平真诠》）
格神有根,bazi,139,格神根[],1
格神有根,bazi,139,结论,1
格神有根,bazi,139,依据,格神有根（《子平真诠》）
春生,bazi,140,"直读[yongshen.tiao_hou.season,春]",1
春生,bazi,140,结论,1
春生,bazi,140,依据,引擎调候季节（《穷通宝鉴》春木喜火泄秀）
秋生,bazi,141,"直读[yongshen.tiao_hou.season,秋]",1
秋生,bazi,141,结论,1
秋生,bazi,141,依据,引擎调候季节（《穷通宝鉴》秋金喜火制炼）
冬生,bazi,142,"直读[yongshen.tiao_hou.season,冬]",1
冬生,bazi,142,结论,1
冬生,bazi,142,依据,引擎调候季节
夏生,bazi,143,"直读[yongshen.tiao_hou.season,夏]",1
夏生,bazi,143,结论,1
夏生,bazi,143,依据,引擎调候季节
寒局无火,bazi,144,"直读[yongshen.tiao_hou.season,冬]",1
寒局无火,bazi,144,缺[火],1
寒局无火,bazi,144,结论,1
寒局无火,bazi,144,依据,冬生无火为寒局（《穷通宝鉴》调候）
燥局无水,bazi,145,"直读[yongshen.tiao_hou.season,夏]",1
燥局无水,bazi,145,缺[水],1
燥局无水,bazi,145,结论,1
燥局无水,bazi,145,依据,夏生无水为燥局（《穷通宝鉴》调候）
日主五行,bazi,146,"直读[ri_gan_wx,任意]",1
日主五行,bazi,146,结论,1
日主五行,bazi,146,依据,引擎日干五行
年柱官杀攻身,bazi,147,年柱官杀[],1
年柱官杀攻身,bazi,147,结论,1
年柱官杀攻身,bazi,147,依据,年柱官杀坐年攻身（命理通论）
天机独坐夫妻宫,ziwei,148,"宫含[夫妻宫,天机,唯一主星]",1
天机独坐夫妻宫,ziwei,148,结论,1
天机独坐夫妻宫,ziwei,148,依据,天机独坐夫妻宫姻缘淡薄（《紫微斗数》）
贪狼化忌,ziwei,149,"宫含[本命,贪狼,化忌]",1
贪狼化忌,ziwei,149,结论,1
贪狼化忌,ziwei,149,依据,贪狼化忌桃花受阻（《紫微斗数》）
疾厄宫化忌,ziwei,150,"宫含[疾厄宫,任意,化忌]",1
疾厄宫化忌,ziwei,150,结论,1
疾厄宫化忌,ziwei,150,依据,疾厄宫化忌主疾（《紫微斗数》）
疾厄宫主星陷,ziwei,151,"宫含[疾厄宫,任意,落陷]",1
疾厄宫主星陷,ziwei,151,结论,1
疾厄宫主星陷,ziwei,151,依据,疾厄宫主星落陷（《紫微斗数》）
财帛宫煞,ziwei,152,"宫含[财帛宫,煞星,任意]",1
财帛宫煞,ziwei,152,结论,1
财帛宫煞,ziwei,152,依据,财帛宫见煞（《紫微斗数》）
子女宫空,ziwei,153,"宫含[子女宫,无主星,任意]",1
子女宫空,ziwei,153,结论,1
子女宫空,ziwei,153,依据,子女宫空（《紫微斗数》）
子女宫煞,ziwei,154,"宫含[子女宫,煞星,任意]",1
子女宫煞,ziwei,154,结论,1
子女宫煞,ziwei,154,依据,子女宫煞（擎羊陀罗等）主刑克损子（《紫微斗数全书》子女宫论；0084 擎羊仅一子）
子女宫吉星,ziwei,155,"宫含[子女宫,武曲,任意]",1
子女宫吉星,ziwei,155,结论,1
子女宫吉星,ziwei,155,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,156,"宫含[子女宫,天府,任意]",1
子女宫吉星,ziwei,156,结论,1
子女宫吉星,ziwei,156,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,157,"宫含[子女宫,太阴,任意]",1
子女宫吉星,ziwei,157,结论,1
子女宫吉星,ziwei,157,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,158,"宫含[子女宫,禄存,任意]",1
子女宫吉星,ziwei,158,结论,1
子女宫吉星,ziwei,158,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,159,"宫含[子女宫,天相,任意]",1
子女宫吉星,ziwei,159,结论,1
