char,unihan_stroke,unihan_form,form_source,radical_no,residual,unicode_version
䴖,19,鶄,char-table:preferred-traditional+unihan:kTraditionalVariant,196,8,17.0.0
䴗,20,鶪,char-table:preferred-traditional+unihan:kTraditionalVariant,196,9,17.0.0
䴘,21,鷉,char-table:preferred-traditional+unihan:kTraditionalVariant,196,10,17.0.0
䴙,24,鸊,char-table:preferred-traditional+unihan:kTraditionalVariant,196,13,17.0.0
䶮,20,龑,unihan:kTraditionalVariant[17.0.0],212,4,17.0.0
一,1,一,unihan:identity,1,0,17.0.0
丁,2,丁,unihan:identity,1,1,17.0.0
七,2,七,unihan:identity,1,1,17.0.0
万,15,萬,char-table:preferred-traditional+unihan:kTraditionalVariant,140,9,17.0.0
丈,3,丈,unihan:identity,1,2,17.0.0
三,3,三,unihan:identity,1,2,17.0.0
上,3,上,unihan:identity,1,2,17.0.0
下,3,下,unihan:identity,1,2,17.0.0
不,4,不,unihan:identity,1,3,17.0.0
与,14,與,char-table:preferred-traditional+unihan:kTraditionalVariant,134,8,17.0.0
丏,4,丏,unihan:identity,1,3,17.0.0
丐,4,丐,unihan:identity,1,3,17.0.0
丑,17,醜,char-table:preferred-traditional+unihan:kTraditionalVariant,164,10,17.0.0
专,11,專,char-table:preferred-traditional+unihan:kTraditionalVariant,41,8,17.0.0
且,5,且,unihan:identity,1,4,17.0.0
丕,5,丕,unihan:identity,1,4,17.0.0
世,5,世,unihan:identity,1,4,17.0.0
丘,5,丘,unihan:identity,1,4,17.0.0
丙,5,丙,unihan:identity,1,4,17.0.0
业,13,業,char-table:preferred-traditional+unihan:kTraditionalVariant,75,9,17.0.0
丛,18,叢,char-table:preferred-traditional+unihan:kTraditionalVariant,29,16,17.0.0
东,8,東,char-table:preferred-traditional+unihan:kTraditionalVariant,75,4,17.0.0
丝,12,絲,char-table:preferred-traditional+unihan:kTraditionalVariant,120,6,17.0.0
丞,6,丞,unihan:identity,1,5,17.0.0
丢,6,丟,unihan:kTraditionalVariant[17.0.0],1,5,17.0.0
两,8,兩,char-table:preferred-traditional+unihan:kTraditionalVariant,11,6,17.0.0
严,20,嚴,char-table:preferred-traditional+unihan:kTraditionalVariant,30,17,17.0.0
丧,12,喪,char-table:preferred-traditional+unihan:kTraditionalVariant,30,9,17.0.0
个,10,個,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
丫,3,丫,unihan:identity,2,2,17.0.0
中,4,中,unihan:identity,2,3,17.0.0
丰,18,豐,char-table:preferred-traditional+unihan:kTraditionalVariant,151,11,17.0.0
串,7,串,unihan:identity,2,6,17.0.0
临,17,臨,char-table:preferred-traditional+unihan:kTraditionalVariant,131,11,17.0.0
丸,3,丸,unihan:identity,3,2,17.0.0
丹,4,丹,unihan:identity,3,3,17.0.0
为,12,爲,char-table:preferred-traditional+unihan:kTraditionalVariant,87,8,17.0.0
主,5,主,unihan:identity,3,4,17.0.0
丽,19,麗,char-table:preferred-traditional+unihan:kTraditionalVariant,198,8,17.0.0
举,16,舉,char-table:preferred-traditional+unihan:kTraditionalVariant,134,10,17.0.0
乂,2,乂,unihan:identity,4,1,17.0.0
乃,2,乃,unihan:identity,4,1,17.0.0
久,3,久,unihan:identity,4,2,17.0.0
么,14,麽,char-table:preferred-traditional+unihan:kTraditionalVariant,200,3,17.0.0
义,13,義,char-table:preferred-traditional+unihan:kTraditionalVariant,123,7,17.0.0
之,4,之,unihan:identity,4,3,17.0.0
乌,10,烏,char-table:preferred-traditional+unihan:kTraditionalVariant,86,6,17.0.0
乍,5,乍,unihan:identity,4,4,17.0.0
乎,5,乎,unihan:identity,4,4,17.0.0
乏,5,乏,unihan:identity,4,4,17.0.0
乐,15,樂,char-table:preferred-traditional+unihan:kTraditionalVariant,75,11,17.0.0
乒,6,乒,unihan:identity,4,5,17.0.0
乓,6,乓,unihan:identity,4,5,17.0.0
乔,12,喬,char-table:preferred-traditional+unihan:kTraditionalVariant,30,9,17.0.0
乖,8,乖,unihan:identity,4,7,17.0.0
乘,10,乘,unihan:identity,4,9,17.0.0
乙,1,乙,unihan:identity,5,0,17.0.0
乜,2,乜,unihan:identity,5,1,17.0.0
九,2,九,unihan:identity,5,1,17.0.0
乞,3,乞,unihan:identity,5,2,17.0.0
也,3,也,unihan:identity,5,2,17.0.0
习,11,習,char-table:preferred-traditional+unihan:kTraditionalVariant,124,5,17.0.0
乡,16,鄉,char-table:preferred-traditional+unihan:kTraditionalVariant,163,9,17.0.0
书,10,書,char-table:preferred-traditional+unihan:kTraditionalVariant,73,6,17.0.0
乩,6,乩,unihan:identity,5,5,17.0.0
买,12,買,char-table:preferred-traditional+unihan:kTraditionalVariant,154,5,17.0.0
乱,13,亂,char-table:preferred-traditional+unihan:kTraditionalVariant,5,12,17.0.0
乳,8,乳,unihan:identity,5,7,17.0.0
乸,8,乸,unihan:identity,5,7,17.0.0
乾,11,乾,unihan:identity,5,10,17.0.0
了,17,瞭,char-table:preferred-traditional+unihan:kTraditionalVariant,109,12,17.0.0
予,4,予,unihan:identity,6,3,17.0.0
争,8,爭,unihan:kTraditionalVariant[17.0.0],87,4,17.0.0
事,8,事,unihan:identity,6,7,17.0.0
二,2,二,unihan:identity,7,0,17.0.0
亍,3,亍,unihan:identity,7,1,17.0.0
于,8,於,unihan:kTraditionalVariant[17.0.0],70,4,17.0.0
亏,17,虧,char-table:preferred-traditional+unihan:kTraditionalVariant,141,11,17.0.0
云,12,雲,char-table:preferred-traditional+unihan:kTraditionalVariant,173,4,17.0.0
互,4,互,unihan:identity,7,2,17.0.0
亓,4,亓,unihan:identity,7,2,17.0.0
五,4,五,unihan:identity,7,2,17.0.0
井,4,井,unihan:identity,7,2,17.0.0
亘,6,亘,unihan:identity,7,4,17.0.0
亚,8,亞,unihan:kTraditionalVariant[17.0.0],7,6,17.0.0
些,7,些,unihan:identity,7,5,17.0.0
亟,8,亟,unihan:identity,7,6,17.0.0
亡,3,亡,unihan:identity,8,1,17.0.0
亢,4,亢,unihan:identity,8,2,17.0.0
交,6,交,unihan:identity,8,4,17.0.0
亥,6,亥,unihan:identity,8,4,17.0.0
亦,6,亦,unihan:identity,8,4,17.0.0
产,11,產,char-table:preferred-traditional+unihan:kTraditionalVariant,100,6,17.0.0
亨,7,亨,unihan:identity,8,5,17.0.0
亩,10,畝,char-table:preferred-traditional+unihan:kTraditionalVariant,102,5,17.0.0
享,8,享,unihan:identity,8,6,17.0.0
京,8,京,unihan:identity,8,6,17.0.0
亭,9,亭,unihan:identity,8,7,17.0.0
亮,9,亮,unihan:identity,8,7,17.0.0
亲,16,親,char-table:preferred-traditional+unihan:kTraditionalVariant,147,9,17.0.0
亳,10,亳,unihan:identity,8,8,17.0.0
亵,17,褻,char-table:preferred-traditional+unihan:kTraditionalVariant,145,11,17.0.0
亶,13,亶,unihan:identity,8,11,17.0.0
亸,20,嚲,char-table:preferred-traditional+unihan:kTraditionalVariant,30,17,17.0.0
亹,21,亹,unihan:identity,8,19,17.0.0
人,2,人,unihan:identity,9,0,17.0.0
亿,15,億,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
什,4,什,unihan:identity,9,2,17.0.0
仁,4,仁,unihan:identity,9,2,17.0.0
仂,4,仂,unihan:identity,9,2,17.0.0
仃,4,仃,unihan:identity,9,2,17.0.0
仄,4,仄,unihan:identity,9,2,17.0.0
仅,13,僅,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
仆,14,僕,char-table:preferred-traditional+unihan:kTraditionalVariant,9,12,17.0.0
仇,4,仇,unihan:identity,9,2,17.0.0
仉,4,仉,unihan:identity,9,2,17.0.0
今,4,今,unihan:identity,9,2,17.0.0
介,4,介,unihan:identity,9,2,17.0.0
仍,4,仍,unihan:identity,9,2,17.0.0
从,11,從,char-table:preferred-traditional+unihan:kTraditionalVariant,60,8,17.0.0
仑,8,侖,char-table:preferred-traditional+unihan:kTraditionalVariant,9,6,17.0.0
仓,10,倉,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
仔,5,仔,unihan:identity,9,3,17.0.0
仕,5,仕,unihan:identity,9,3,17.0.0
他,5,他,unihan:identity,9,3,17.0.0
仗,5,仗,unihan:identity,9,3,17.0.0
付,5,付,unihan:identity,9,3,17.0.0
仙,5,仙,unihan:identity,9,3,17.0.0
仝,5,仝,unihan:identity,9,3,17.0.0
仞,5,仞,unihan:identity,9,3,17.0.0
仟,5,仟,unihan:identity,9,3,17.0.0
仡,5,仡,unihan:identity,9,3,17.0.0
代,5,代,unihan:identity,9,3,17.0.0
令,5,令,unihan:identity,9,3,17.0.0
以,5,以,unihan:identity,9,3,17.0.0
仨,5,仨,unihan:identity,9,3,17.0.0
仪,15,儀,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
仫,5,仫,unihan:identity,9,3,17.0.0
们,10,們,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
仰,6,仰,unihan:identity,9,4,17.0.0
仲,6,仲,unihan:identity,9,4,17.0.0
仳,6,仳,unihan:identity,9,4,17.0.0
仵,6,仵,unihan:identity,9,4,17.0.0
件,6,件,unihan:identity,9,4,17.0.0
价,15,價,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
任,6,任,unihan:identity,9,4,17.0.0
份,6,份,unihan:identity,9,4,17.0.0
仿,6,仿,unihan:identity,9,4,17.0.0
企,6,企,unihan:identity,9,4,17.0.0
伈,6,伈,unihan:identity,9,4,17.0.0
伉,6,伉,unihan:identity,9,4,17.0.0
伊,6,伊,unihan:identity,9,4,17.0.0
伋,6,伋,unihan:identity,9,4,17.0.0
伍,6,伍,unihan:identity,9,4,17.0.0
伎,6,伎,unihan:identity,9,4,17.0.0
伏,6,伏,unihan:identity,9,4,17.0.0
伐,6,伐,unihan:identity,9,4,17.0.0
休,6,休,unihan:identity,9,4,17.0.0
众,12,衆,char-table:preferred-traditional+unihan:kTraditionalVariant,143,6,17.0.0
优,17,優,char-table:preferred-traditional+unihan:kTraditionalVariant,9,15,17.0.0
伙,14,夥,char-table:preferred-traditional+unihan:kTraditionalVariant,36,11,17.0.0
会,13,會,char-table:preferred-traditional+unihan:kTraditionalVariant,73,9,17.0.0
伛,13,傴,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
伞,12,傘,char-table:preferred-traditional+unihan:kTraditionalVariant,9,10,17.0.0
伟,11,偉,char-table:preferred-traditional+unihan:kTraditionalVariant,9,9,17.0.0
传,13,傳,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
伢,6,伢,unihan:identity,9,4,17.0.0
伣,9,俔,char-table:preferred-traditional+unihan:kTraditionalVariant,9,7,17.0.0
伤,13,傷,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
伥,10,倀,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
伦,10,倫,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
伧,12,傖,char-table:preferred-traditional+unihan:kTraditionalVariant,9,10,17.0.0
伪,14,僞,char-table:preferred-traditional+unihan:kTraditionalVariant,9,12,17.0.0
伫,7,佇,unihan:kTraditionalVariant[17.0.0],9,5,17.0.0
伭,7,伭,unihan:identity,9,5,17.0.0
伯,7,伯,unihan:identity,9,5,17.0.0
估,7,估,unihan:identity,9,5,17.0.0
伲,7,伲,unihan:identity,9,5,17.0.0
伴,7,伴,unihan:identity,9,5,17.0.0
伶,7,伶,unihan:identity,9,5,17.0.0
伸,7,伸,unihan:identity,9,5,17.0.0
伺,7,伺,unihan:identity,9,5,17.0.0
似,7,似,unihan:identity,9,5,17.0.0
伽,7,伽,unihan:identity,9,5,17.0.0
伾,7,伾,unihan:identity,9,5,17.0.0
佁,7,佁,unihan:identity,9,5,17.0.0
佃,7,佃,unihan:identity,9,5,17.0.0
但,7,但,unihan:identity,9,5,17.0.0
位,7,位,unihan:identity,9,5,17.0.0
低,7,低,unihan:identity,9,5,17.0.0
住,7,住,unihan:identity,9,5,17.0.0
佐,7,佐,unihan:identity,9,5,17.0.0
佑,7,佑,unihan:identity,9,5,17.0.0
体,23,體,char-table:preferred-traditional+unihan:kTraditionalVariant,188,13,17.0.0
何,7,何,unihan:identity,9,5,17.0.0
佖,7,佖,unihan:identity,9,5,17.0.0
佗,7,佗,unihan:identity,9,5,17.0.0
佘,7,佘,unihan:identity,9,5,17.0.0
余,16,餘,char-table:preferred-traditional+unihan:kTraditionalVariant,184,7,17.0.0
佚,7,佚,unihan:identity,9,5,17.0.0
佛,7,佛,unihan:identity,9,5,17.0.0
作,7,作,unihan:identity,9,5,17.0.0
佝,7,佝,unihan:identity,9,5,17.0.0
佞,7,佞,unihan:identity,9,5,17.0.0
佟,7,佟,unihan:identity,9,5,17.0.0
你,7,你,unihan:identity,9,5,17.0.0
佣,13,傭,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
佤,7,佤,unihan:identity,9,5,17.0.0
佥,13,僉,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
佩,8,佩,unihan:identity,9,6,17.0.0
佬,8,佬,unihan:identity,9,6,17.0.0
佯,8,佯,unihan:identity,9,6,17.0.0
佰,8,佰,unihan:identity,9,6,17.0.0
佳,8,佳,unihan:identity,9,6,17.0.0
佴,8,佴,unihan:identity,9,6,17.0.0
佶,8,佶,unihan:identity,9,6,17.0.0
佸,8,佸,unihan:identity,9,6,17.0.0
佺,8,佺,unihan:identity,9,6,17.0.0
佻,8,佻,unihan:identity,9,6,17.0.0
佼,8,佼,unihan:identity,9,6,17.0.0
佽,8,佽,unihan:identity,9,6,17.0.0
佾,8,佾,unihan:identity,9,6,17.0.0
使,8,使,unihan:identity,9,6,17.0.0
侁,8,侁,unihan:identity,9,6,17.0.0
侂,8,侂,unihan:identity,9,6,17.0.0
侃,8,侃,unihan:identity,9,6,17.0.0
侄,8,侄,unihan:identity,9,6,17.0.0
侈,8,侈,unihan:identity,9,6,17.0.0
侉,8,侉,unihan:identity,9,6,17.0.0
例,8,例,unihan:identity,9,6,17.0.0
侍,8,侍,unihan:identity,9,6,17.0.0
侏,8,侏,unihan:identity,9,6,17.0.0
侑,8,侑,unihan:identity,9,6,17.0.0
侔,8,侔,unihan:identity,9,6,17.0.0
侗,8,侗,unihan:identity,9,6,17.0.0
侘,8,侘,unihan:identity,9,6,17.0.0
供,8,供,unihan:identity,9,6,17.0.0
依,8,依,unihan:identity,9,6,17.0.0
侠,9,俠,char-table:preferred-traditional+unihan:kTraditionalVariant,9,7,17.0.0
侣,9,侶,unihan:kTraditionalVariant[17.0.0],9,7,17.0.0
侥,14,僥,char-table:preferred-traditional+unihan:kTraditionalVariant,9,12,17.0.0
侦,11,偵,char-table:preferred-traditional+unihan:kTraditionalVariant,9,9,17.0.0
侧,11,側,char-table:preferred-traditional+unihan:kTraditionalVariant,9,9,17.0.0
侨,14,僑,char-table:preferred-traditional+unihan:kTraditionalVariant,9,12,17.0.0
侩,15,儈,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
侪,16,儕,char-table:preferred-traditional+unihan:kTraditionalVariant,9,14,17.0.0
侬,15,儂,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
侮,9,侮,unihan:identity,9,7,17.0.0
侯,9,侯,unihan:identity,9,7,17.0.0
侴,9,侴,unihan:identity,9,7,17.0.0
侵,9,侵,unihan:identity,9,7,17.0.0
侹,9,侹,unihan:identity,9,7,17.0.0
便,9,便,unihan:identity,9,7,17.0.0
促,9,促,unihan:identity,9,7,17.0.0
俄,9,俄,unihan:identity,9,7,17.0.0
俅,9,俅,unihan:identity,9,7,17.0.0
俊,9,俊,unihan:identity,9,7,17.0.0
俍,9,俍,unihan:identity,9,7,17.0.0
俎,9,俎,unihan:identity,9,7,17.0.0
俏,9,俏,unihan:identity,9,7,17.0.0
俐,9,俐,unihan:identity,9,7,17.0.0
俑,9,俑,unihan:identity,9,7,17.0.0
俗,9,俗,unihan:identity,9,7,17.0.0
俘,9,俘,unihan:identity,9,7,17.0.0
俙,9,俙,unihan:identity,9,7,17.0.0
俚,9,俚,unihan:identity,9,7,17.0.0
俜,9,俜,unihan:identity,9,7,17.0.0
保,9,保,unihan:identity,9,7,17.0.0
俞,9,俞,unihan:identity,9,7,17.0.0
俟,9,俟,unihan:identity,9,7,17.0.0
信,9,信,unihan:identity,9,7,17.0.0
俣,9,俁,unihan:kTraditionalVariant[17.0.0],9,7,17.0.0
俦,16,儔,char-table:preferred-traditional+unihan:kTraditionalVariant,9,14,17.0.0
俨,22,儼,char-table:preferred-traditional+unihan:kTraditionalVariant,9,20,17.0.0
俩,10,倆,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
俪,21,儷,char-table:preferred-traditional+unihan:kTraditionalVariant,9,19,17.0.0
俫,10,倈,char-table:preferred-traditional+unihan:kTraditionalVariant,9,8,17.0.0
俭,15,儉,char-table:preferred-traditional+unihan:kTraditionalVariant,9,13,17.0.0
修,10,修,unihan:identity,9,8,17.0.0
俯,10,俯,unihan:identity,9,8,17.0.0
俱,10,俱,unihan:identity,9,8,17.0.0
俳,10,俳,unihan:identity,9,8,17.0.0
俵,10,俵,unihan:identity,9,8,17.0.0
俶,10,俶,unihan:identity,9,8,17.0.0
俸,10,俸,unihan:identity,9,8,17.0.0
俺,10,俺,unihan:identity,9,8,17.0.0
俾,10,俾,unihan:identity,9,8,17.0.0
倌,10,倌,unihan:identity,9,8,17.0.0
倍,10,倍,unihan:identity,9,8,17.0.0
倏,10,倏,unihan:identity,9,8,17.0.0
倒,10,倒,unihan:identity,9,8,17.0.0
倓,10,倓,unihan:identity,9,8,17.0.0
倔,10,倔,unihan:identity,9,8,17.0.0
倕,10,倕,unihan:identity,9,8,17.0.0
倘,10,倘,unihan:identity,9,8,17.0.0
候,10,候,unihan:identity,9,8,17.0.0
倚,10,倚,unihan:identity,9,8,17.0.0
倜,10,倜,unihan:identity,9,8,17.0.0
倞,10,倞,unihan:identity,9,8,17.0.0
借,20,藉,char-table:preferred-traditional+unihan:kTraditionalVariant,140,14,17.0.0
倡,10,倡,unihan:identity,9,8,17.0.0
倥,10,倥,unihan:identity,9,8,17.0.0
倦,10,倦,unihan:identity,9,8,17.0.0
倧,10,倧,unihan:identity,9,8,17.0.0
倨,10,倨,unihan:identity,9,8,17.0.0
倩,10,倩,unihan:identity,9,8,17.0.0
倪,10,倪,unihan:identity,9,8,17.0.0
倬,10,倬,unihan:identity,9,8,17.0.0
倭,10,倭,unihan:identity,9,8,17.0.0
倮,10,倮,unihan:identity,9,8,17.0.0
倴,10,倴,unihan:identity,9,8,17.0.0
债,13,債,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
倻,11,倻,unihan:identity,9,9,17.0.0
值,10,值,unihan:identity,9,8,17.0.0
倾,13,傾,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
偁,11,偁,unihan:identity,9,9,17.0.0
偃,11,偃,unihan:identity,9,9,17.0.0
假,11,假,unihan:identity,9,9,17.0.0
偈,11,偈,unihan:identity,9,9,17.0.0
偌,11,偌,unihan:identity,9,9,17.0.0
偎,11,偎,unihan:identity,9,9,17.0.0
偏,11,偏,unihan:identity,9,9,17.0.0
偓,11,偓,unihan:identity,9,9,17.0.0
偕,11,偕,unihan:identity,9,9,17.0.0
做,11,做,unihan:identity,9,9,17.0.0
停,11,停,unihan:identity,9,9,17.0.0
偡,11,偡,unihan:identity,9,9,17.0.0
健,11,健,unihan:identity,9,9,17.0.0
偬,13,傯,unihan:kTraditionalVariant[17.0.0],9,11,17.0.0
偭,11,偭,unihan:identity,9,9,17.0.0
偰,11,偰,unihan:identity,9,9,17.0.0
偲,11,偲,unihan:identity,9,9,17.0.0
偶,11,偶,unihan:identity,9,9,17.0.0
偷,11,偷,unihan:identity,9,9,17.0.0
偻,13,僂,char-table:preferred-traditional+unihan:kTraditionalVariant,9,11,17.0.0
偾,14,僨,char-table:preferred-traditional+unihan:kTraditionalVariant,9,12,17.0.0
偿,17,償,char-table:preferred-traditional+unihan:kTraditionalVariant,9,15,17.0.0
傀,12,傀,unihan:identity,9,10,17.0.0
傃,12,傃,unihan:identity,9,10,17.0.0
傅,12,傅,unihan:identity,9,10,17.0.0
傈,12,傈,unihan:identity,9,10,17.0.0
傉,12,傉,unihan:identity,9,10,17.0.0
傍,12,傍,unihan:identity,9,10,17.0.0
傒,12,傒,unihan:identity,9,10,17.0.0
傕,12,傕,unihan:identity,9,10,17.0.0
傣,12,傣,unihan:identity,9,10,17.0.0
傥,22,儻,char-table:preferred-traditional+unihan:kTraditionalVariant,9,20,17.0.0
傧,16,儐,char-table:preferred-traditional+unihan:kTraditionalVariant,9,14,17.0.0
储,18,儲,char-table:preferred-traditional+unihan:kTraditionalVariant,9,16,17.0.0
傩,21,儺,char-table:preferred-traditional+unihan:kTraditionalVariant,9,19,17.0.0
催,13,催,unihan:identity,9,11,17.0.0
傲,13,傲,unihan:identity,9,11,17.0.0
傺,13,傺,unihan:identity,9,11,17.0.0
傻,13,傻,unihan:identity,9,11,17.0.0
僇,13,僇,unihan:identity,9,11,17.0.0
僎,14,僎,unihan:identity,9,12,17.0.0
像,14,像,unihan:identity,9,12,17.0.0
僔,14,僔,unihan:identity,9,12,17.0.0
僖,14,僖,unihan:identity,9,12,17.0.0
僚,14,僚,unihan:identity,9,12,17.0.0
僦,14,僦,unihan:identity,9,12,17.0.0
僧,14,僧,unihan:identity,9,12,17.0.0
僬,14,僬,unihan:identity,9,12,17.0.0
僭,14,僭,unihan:identity,9,12,17.0.0
僮,14,僮,unihan:identity,9,12,17.0.0
僰,14,僰,unihan:identity,9,12,17.0.0
僳,14,僳,unihan:identity,9,12,17.0.0
僵,15,僵,unihan:identity,9,13,17.0.0
僻,15,僻,unihan:identity,9,13,17.0.0
儆,15,儆,unihan:identity,9,13,17.0.0
儇,15,儇,unihan:identity,9,13,17.0.0
儋,15,儋,unihan:identity,9,13,17.0.0
儒,16,儒,unihan:identity,9,14,17.0.0
儡,17,儡,unihan:identity,9,15,17.0.0
儦,17,儦,unihan:identity,9,15,17.0.0
儳,19,儳,unihan:identity,9,17,17.0.0
儴,19,儴,unihan:identity,9,17,17.0.0
儿,8,兒,char-table:preferred-traditional+unihan:kTraditionalVariant,10,6,17.0.0
兀,3,兀,unihan:identity,10,1,17.0.0
允,4,允,unihan:identity,10,2,17.0.0
元,4,元,unihan:identity,10,2,17.0.0
兄,5,兄,unihan:identity,10,3,17.0.0
充,6,充,unihan:identity,10,4,17.0.0
兆,6,兆,unihan:identity,10,4,17.0.0
先,6,先,unihan:identity,10,4,17.0.0
光,6,光,unihan:identity,10,4,17.0.0
克,9,剋,char-table:preferred-traditional+unihan:kTraditionalVariant,18,7,17.0.0
免,7,免,unihan:identity,10,5,17.0.0
兑,7,兌,unihan:kTraditionalVariant[17.0.0],10,5,17.0.0
兔,8,兔,unihan:identity,10,6,17.0.0
兕,8,兕,unihan:identity,10,6,17.0.0
