id,事件,结论,依据,经典原文,地支三合寅午戌,地支三合巳酉丑,地支三合申子辰,地支三合亥卯未,地支三会寅卯辰,地支三会巳午未,地支三会申酉戌,地支三会亥子丑,枭神夺食,羊刃驾杀,伤官见官,食神制杀,财官双美,天干五合甲己,天干五合乙庚,天干五合丙辛,天干五合丁壬,天干五合戊癸,地支六合子丑,地支六合寅亥,地支六合卯戌,地支六合辰酉,地支六合巳申,地支六合午未,地支六冲子午,地支六冲丑未,地支六冲寅申,地支六冲卯酉,地支六冲辰戌,地支六冲巳亥,地支六害子未,地支六害丑午,地支六害寅巳,地支六害卯辰,地支六害申亥,地支六害酉戌,地支相刑寅巳申,地支相刑丑戌未,地支相刑子卯
zh_103,十神组合,伤官见官：口舌是非，官非/变动倾向,伤官与正官两强相见 → 为祸百端（《渊海子平》伤官见官为祸百端，无印则真）,《渊海子平》伤官见官为祸百端，无印则真）,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_104,十神组合,食神制杀——以食制杀，贵而掌权,食伤旺制七杀，以食制杀为用（《渊海子平》）,《渊海子平》食神制杀,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_106,十神组合,财旺生官——财官双美，富贵双全,财旺生官，财官双美主富贵（《渊海子平》）,《渊海子平》财官双美,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_201,天干五合,甲己合土——中正之合，主人稳重守信，合化成功则土性增强,甲己合化土，中正之合（《三命通会》天干五合）,《三命通会》天干五合：甲己合化土,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
zh_202,天干五合,乙庚合金——仁义之合，主人刚义果决，合化成功则金性增强,乙庚合化金，仁义之合（《三命通会》天干五合）,《三命通会》天干五合：乙庚合化金,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
zh_203,天干五合,丙辛合水——威制之合，主人威严，合化成功则水性增强,丙辛合化水，威制之合（《三命通会》天干五合）,《三命通会》天干五合：丙辛合化水,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
zh_204,天干五合,丁壬合木——淫匿之合，主人多情，合化成功则木性增强,丁壬合化木，淫匿之合，主多情多欲（《三命通会》天干五合）,《三命通会》天干五合：丁壬合化木,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
zh_205,天干五合,戊癸合火——无情之合，主人外表合群内心独立，合化成功则火性增强,戊癸合化火，无情之合（《三命通会》天干五合）,《三命通会》天干五合：戊癸合化火,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
zh_206,地支六合,子丑合土——代表亲密结合，人际和谐,子丑合化土，主结合亲近（《三命通会》地支六合）,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
zh_207,地支六合,寅亥合木——合作共生，互相滋养,寅亥合化木，主合作共赢,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
zh_208,地支六合,卯戌合火——热情结合，暗中相合,卯戌合化火，主暗中结合,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
zh_209,地支六合,辰酉合金——亲密友善，相亲相爱,辰酉合化金，主亲和友善,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
zh_210,地支六合,巳申合水——先合后刑，关系复杂,巳申既合又刑，主关系先好后复杂,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
zh_211,地支六合,午未合土——内外配合，互助互益,午未合化土，主内外配合,《三命通会》地支六合,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
zh_212,地支三合,申子辰三合水局——水势大旺，智慧/流动/变化增强,申子辰合水局，水属性大旺,《三命通会》地支三合,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_213,地支三合,亥卯未三合木局——木势大旺，仁慈/成长/扩张增强,亥卯未合木局，木属性大旺,《三命通会》地支三合,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_214,地支三合,寅午戌三合火局——火势大旺，热情/行动/表达增强,寅午戌合火局，火属性大旺,《三命通会》地支三合,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_215,地支三合,巳酉丑三合金局——金势大旺，果断/规则/收敛增强,巳酉丑合金局，金属性大旺,《三命通会》地支三合,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_216,地支三会,寅卯辰三会东方木——木气最旺，仁慈/成长力极强,寅卯辰会东方木，三会力量大于三合,《三命通会》地支三会,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_217,地支三会,巳午未三会南方火——火气最旺，热情/行动力极强,巳午未会南方火，三会力量大于三合,《三命通会》地支三会,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_218,地支三会,申酉戌三会西方金——金气最旺，果断/规则性极强,申酉戌会西方金，三会力量大于三合,《三命通会》地支三会,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_219,地支三会,亥子丑三会北方水——水气最旺，智慧/流动性极强,亥子丑会北方水，三会力量大于三合,《三命通会》地支三会,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_220,地支六冲,子午相冲——水火交战，情绪波动/人际冲突,子午冲主情绪波动，水火不容,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
zh_221,地支六冲,丑未相冲——土库相冲，财库冲开/变动,丑未冲主财库冲开，变动有关,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
zh_222,地支六冲,寅申相冲——金木交战，奔波/变动/交通,寅申冲主驿马变动，奔波外出,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
zh_223,地支六冲,卯酉相冲——金木交战，约束/纪律/变化,卯酉冲主约束变化,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
zh_224,地支六冲,辰戌相冲——土库相冲，事业变动/人际变化,辰戌冲主事业变动,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
zh_225,地支六冲,巳亥相冲——水火交战，远行/迁移/内心冲突,巳亥冲主远行迁移,《三命通会》地支六冲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
zh_226,地支六害,子未相害——暗中有损，人际关系暗碍,子未害主暗中损害,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
zh_227,地支六害,丑午相害——内耗暗损，合作有碍,丑午害主内耗,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
zh_228,地支六害,寅巳相害——受制于人，竞争受碍,寅巳害主受制,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
zh_229,地支六害,卯辰相害——明争暗斗，人际暗碍,卯辰害主争斗,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
zh_230,地支六害,申亥相害——暗中损耗，决策受碍,申亥害主暗损,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
zh_231,地支六害,酉戌相害——暗害嫉妒，小人暗害,酉戌害主暗害,《三命通会》地支六害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
zh_232,地支相刑,寅巳申三刑（无恩之刑）——恩将仇报，忘恩负义之象,寅巳申为无恩之刑，主恩将仇报,《三命通会》地支三刑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
zh_233,地支相刑,丑戌未三刑（持势之刑）——仗势欺人，官非诉讼,丑戌未为持势之刑，主官非诉讼,《三命通会》地支三刑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
zh_234,地支相刑,子卯相刑（无礼之刑）——无礼冒犯，两代不和,子卯为无礼之刑，主无礼冒犯,《三命通会》地支三刑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
