id,事件,结论,依据,经典原文,命宫紫微,命宫七杀,命宫天机,命宫太阳,命宫武曲,命宫天同,命宫廉贞,命宫天府,命宫太阴,命宫贪狼,命宫巨门,命宫天相,命宫天梁,命宫破军,命宫左辅,命宫右弼,命宫文昌,命宫文曲,命宫天魁,命宫天钺,命宫禄存,命宫天马,命宫文昌庙旺,命宫文昌陷,命宫文曲庙旺,命宫文曲陷,命宫化权,命宫化科,命宫化忌,命宫化禄
xg_天梁命,性格,命宫天梁：正直慈悲、荫庇他人、有长者风、逢凶化吉,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
xg_天相命,性格,命宫天相：正直温和、辅佐之才、重仪表、善协调,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
xg_太阳命,性格,命宫太阳：光明磊落、热情大方、爱助人、喜名不重利,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_太阴命,性格,命宫太阴：细腻温和、内向敏感、重感情、喜静,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
xg_巨门命,性格,命宫巨门：口才佳、善辩、是非多、多思多虑（暗星）,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
xg_廉贞命,性格,命宫廉贞：多才多艺、急躁刚强、是非多、情绪起伏,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
xg_武曲命,性格,命宫武曲：刚毅果断、务实勤奋、劳碌命、重钱财,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
xg_破军命,性格,命宫破军：破旧立新、开创性强、变动大、有魄力,紫微斗数主星性格论（《紫微斗数全书》）,《紫微斗数全书》）,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
xg_紫微命,性格,命宫紫微：稳重、有领导气度、自尊心强、好面子（帝星坐命）——事业宜尊贵领导/管理统筹之位（命宫定基调，官禄+大运定具体职）,紫微斗数主星性格论（《紫微斗数全书》）；合并原 zs_323,《紫微斗数全书》）,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_贪狼命,性格,命宫贪狼：多才多欲、交际广、桃花旺、善投机——行/才艺/玄学/偏门行业倾向（贪狼主才艺玄学）,紫微斗数主星性格论（《紫微斗数全书》）；合并原 zw_zy_301,《紫微斗数全书》）,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
xf_334,性格,命宫化权：强势好胜、掌控欲强、自立自信——自主权柄、掌权（事业掌权）,命宫化权主强势（gong12：化权落命宫主强势；liunian：化权入命宫自我强势）——本命命宫化权者刚强独立；合并原 zw_611,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
xf_335,性格,命宫化科：名声清白、自信文雅、知书达理——名声才学、清贵（得名）,命宫化科主名声好（gong12：化科落命宫主名声；liunian：化科入命宫名声好）——本命命宫化科者重名节；合并原 zw_612,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
xf_336,性格,命宫化忌 → 自困多思、是非缠身、本命课题为自我纠偏（命宫化忌主自身困顿）,命宫化忌主自身困顿/是非（yingqi：流年命宫化忌主自身困顿；gong12 化忌所在宫为人生命题）——本命命宫忌者常与自我较劲,《紫微斗数全书》命宫四化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
zw_610,财运,化禄入命宫——福气财禄、一生顺遂,命宫化禄主福气财禄,《紫微斗数全书》四化论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
