id,事件,日主五行,伤官旺,劫财旺,正印旺,七杀旺,食神旺,偏财旺,华盖,身弱,印星旺,印透,七杀现,枭神夺食,比劫夺财,日主甲,日主乙,日主丙,日主丁,日主戊,日主己,日主庚,日主辛,日主壬,日主癸,月支长生,结论,依据,经典原文,日主长生,日主帝旺,日主墓,日主绝,月令本气正印,月令本气偏印,月令本气伤官,月令本气食神,月令本气正官,月令本气七杀,月令本气正财,月令本气偏财,月令本气比肩,月令本气劫财
xg_101,性情,木,,,,,,,,,,,,,,,,,,,,,,,,,仁慈温和、重情义、有条理,木主仁，性直情和（《滴天髓》木之性仁）,《滴天髓》木之性仁）,,,,,,,,,,,,,,
xg_102,性情,火,,,,,,,,,,,,,,,,,,,,,,,,,性急外向、热情、重礼,火主礼，性急而明（《滴天髓》火之性燥）,《滴天髓》火之性燥）,,,,,,,,,,,,,,
xg_103,性情,土,,,,,,,,,,,,,,,,,,,,,,,,,敦厚守信、沉稳、包容,土主信，性厚而重（《滴天髓》土之性重）,《滴天髓》土之性重）,,,,,,,,,,,,,,
xg_104,性情,金,,,,,,,,,,,,,,,,,,,,,,,,,刚毅果断、重义气、原则性强,金主义，性刚而决（《滴天髓》金之性刚）,《滴天髓》金之性刚）,,,,,,,,,,,,,,
xg_105,性情,水,,,,,,,,,,,,,,,,,,,,,,,,,智巧多思、善变通、城府深,水主智，性巧而流（《滴天髓》水之性聪）,《滴天髓》水之性聪）,,,,,,,,,,,,,,
xg_201,性情,,1,,,,,,,,,,,,,,,,,,,,,,,,聪明外露、不拘小节、爱表现,伤官主才华外露、叛逆不拘（《滴天髓》伤官者聪明俊秀）,《滴天髓》伤官者聪明俊秀）,,,,,,,,,,,,,,
xg_202,性情,,,1,,,,,,,,,,,,,,,,,,,,,,,好胜强势、行动力强、仗义,劫财主竞争好胜、敢作敢为,《滴天髓》比劫论：比劫旺主好胜强势、行动力强,,,,,,,,,,,,,,
xg_203,性情,,,,1,,,,,,,,,,,,,,,,,,,,,,仁厚保守、顾虑多、重名声,正印主仁慈守成、思虑周详,《子平真诠》印绶论：印星主仁厚保守、重名声,,,,,,,,,,,,,,
xg_205,性情,,,,,,1,,,,,,,,,,,,,,,,,,,,温和知足、善享受、口福好,食神主温和享受、才艺从容,《渊海子平》食神论：食神主温和知足、善享受,,,,,,,,,,,,,,
xg_206,性情,,,,,,,1,,,,,,,,,,,,,,,,,,,慷慨大方、善交际、理财活,偏财主慷慨灵活、交际广,《渊海子平》偏财论：偏财主慷慨大方、善交际,,,,,,,,,,,,,,
xg_301,宗教缘,,,,,,,,1,,,,,,,,,,,,,,,,,,华盖临命 → 有宗教/玄学/艺术缘，性喜独处、淡泊名利,华盖主孤高玄学（《三命通会》华盖）,《三命通会》华盖）,,,,,,,,,,,,,,
xg_701,性格,,,,,1,,,,1,,,,,,,,,,,,,,,,,七杀透干+身弱 → 胆小压抑、内心压力大（非冲动——杀旺身弱受制）,七杀强度状态取象（《子平真诠》杀旺身弱受制；fangfa/fangfa/shishen.md 身强弱前置）,《子平真诠》杀旺身弱受制,,,,,,,,,,,,,,
xg_702,性格,,,,,,,,,1,1,,,,,,,,,,,,,,,,印旺+身弱 → 知书达理、受庇护（印为用）；非依赖保守（身强印忌才依赖）,印星身弱为用则受益（《子平真诠》印绶喜身弱；fangfa/fangfa/shishen.md 身强弱取象）,《子平真诠》印绶喜身弱,,,,,,,,,,,,,,
xg_501,性格,,1,,,,,,,,,1,,,,,,,,,,,,,,,伤官配印 → 出风头/急性子被收敛，主象内敛有才、涵养、可靠（印系）,"伤官配印：正印透干制伤官（《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）","《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）",,,,,,,,,,,,,,
xg_502,性格,,,,,,1,,,,,,1,,,,,,,,,,,,,,七杀有制（食神制杀）→ 有胆识但不鲁莽，冲动被约束,"食神制杀：七杀冲动被化（《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）","《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）",,,,,,,,,,,,,,
xg_503,性格,,,,,,,,,,,,,1,,,,,,,,,,,,,"枭神夺食 → 情绪压抑、多思多虑、才华被抑（先于""食神生财""取象）",枭神夺食主情绪受抑（《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）,《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）,,,,,,,,,,,,,,
xg_504,性格,,,,,,,,,,,,,,1,,,,,,,,,,,,"劫财夺财 → 家道中落、钱财留不住、兄弟朋友分财（先于""财星当令""取象）",比劫夺财主财被分（《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）,《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）,,,,,,,,,,,,,,
xg_601,性格,,,,,,,,,,,,,,,1,,,,,,,,,,,日主甲木 → 刚直正义、宁折不弯（阳木）,十干性格基调（参考 mingli-skills phase6 6.6）,《三命通会》十干性情：甲木主刚直正义、宁折不弯,,,,,,,,,,,,,,
xg_602,性格,,,,,,,,,,,,,,,,1,,,,,,,,,,日主乙木 → 柔韧灵活、善变通（阴木）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：乙木主柔韧灵活、善变通,,,,,,,,,,,,,,
xg_603,性格,,,,,,,,,,,,,,,,,1,,,,,,,,,日主丙火 → 热情慷慨、光明磊落（阳火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丙火主热情慷慨、光明磊落,,,,,,,,,,,,,,
xg_604,性格,,,,,,,,,,,,,,,,,,1,,,,,,,,日主丁火 → 温和谨慎、慢热保守（阴火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丁火主温和谨慎、慢热保守,,,,,,,,,,,,,,
xg_605,性格,,,,,,,,,,,,,,,,,,,1,,,,,,,日主戊土 → 厚重沉稳、固执（阳土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：戊土主厚重沉稳、固执,,,,,,,,,,,,,,
xg_606,性格,,,,,,,,,,,,,,,,,,,,1,,,,,,日主己土 → 温和善纳、学习力强（阴土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：己土主温和善纳、学习力强,,,,,,,,,,,,,,
xg_607,性格,,,,,,,,,,,,,,,,,,,,,1,,,,,日主庚金 → 刚毅果断、豪侠仗义（阳金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：庚金主刚毅果断、豪侠仗义,,,,,,,,,,,,,,
xg_608,性格,,,,,,,,,,,,,,,,,,,,,,1,,,,日主辛金 → 精致温润、外柔内刚（阴金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：辛金主精致温润、外柔内刚,,,,,,,,,,,,,,
xg_609,性格,,,,,,,,,,,,,,,,,,,,,,,1,,,日主壬水 → 胸怀开阔、冲劲强（阳水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：壬水主胸怀开阔、冲劲强,,,,,,,,,,,,,,
xg_610,性格,,,,,,,,,,,,,,,,,,,,,,,,1,,日主癸水 → 细腻敏锐、适应力强（阴水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：癸水主细腻敏锐、适应力强,,,,,,,,,,,,,,
xg_611,性格,,,,,,,,,,,,,,,,,,,,,,,,,1,月支长生（日主长生在月）→ 温顺有活力、朝气蓬勃,月支长生十二态（参考 mingli-skills phase6 6.6）,《三命通会》十二长生：长生主温顺有活力、朝气蓬勃,,,,,,,,,,,,,,
xg_204,性情,,,,,1,,,,,,,,,,,,,,,,,,,,,威严果决、魄力强、不服输,七杀主威严魄力、雷厉风行（《滴天髓》七杀者性烈）,《滴天髓》七杀者性烈）,,,,,,,,,,,,,,
xg_302b,性格,,,,,,,,1,,,,,,,,,,,,,,,,,,华盖（八字神煞）→ 宗教/玄学缘、孤高自赏,华盖主宗教玄学缘（八字神煞）——命宫天梁主荫庇（ziwei_xingge 承担——双盘对照）,《三命通会》华盖主孤高玄学,,,,,,,,,,,,,,
xg_711,性格,,,,,,,,,,,,,,,,,,,,,,,,,,日主长生在月令——生机旺盛、有活力,日主长生主生机活力（《三命通会》十二长生）,《三命通会》十二长生,1,,,,,,,,,,,,,
xg_712,性格,,,,,,,,,,,,,,,,,,,,,,,,,,日主帝旺在月令——身极强、刚健,日主帝旺主身极强刚健（《三命通会》十二长生）,《三命通会》十二长生,,1,,,,,,,,,,,,
xg_713,性格,,,,,,,,,,,,,,,,,,,,,,,,,,日主墓在月令——收藏内敛,日主墓主收藏内敛（《三命通会》十二长生）,《三命通会》十二长生,,,1,,,,,,,,,,,
xg_714,性格,,,,,,,,,,,,,,,,,,,,,,,,,,日主绝在月令——气衰、消沉,日主绝主气衰消沉（《三命通会》十二长生）,《三命通会》十二长生,,,,1,,,,,,,,,,
