id,事件,gender,配偶星透干,配偶星受克,大运配偶星,宫破,配偶星藏支,配偶星混杂,比劫重,配偶星得地,官杀取清,配偶星不现,桃花,伤官克官,配偶星得令,食伤克官,寡宿,夫妻宫被冲,夫妻宫被合,夫妻宫被刑,日支桃花,日支驿马,日支墓库,配偶星为用,夫妻宫安静,配偶星为忌,结论,依据,经典原文,食伤旺
hun_106,婚姻状态,male,,,,,1,,0,,,,,,,,0,,,,,,,,,,财藏支、比劫不重——妻星得地，婚姻正常,财藏支 + 比劫不重 → 妻星得地，婚姻正常,《渊海子平》财星论：男命财星得地（藏支有根）主婚姻正常,
hun_107,婚姻状态,male,,,1,,,,,,,1,,,,,,,,,,,,,,,原局财星不现、大运得财——大运引动婚缘，婚可成,原局财星不现、大运得财 → 大运引动婚缘（《渊海子平》大运得财主婚）,《渊海子平》大运得财主婚）,
hun_108,婚姻状态,male,,,0,,,,,,,1,,,,,,,,,,,,,,,财星不现且大运无财——妻星全无，婚缘虚,财星不现且大运无财 → 妻星全无，婚缘虚,《渊海子平》财星论：男命财星不现主婚缘虚（妻星全无）,
hun_201,婚姻状态,female,,,,1,,,,,,1,,,,,,,,,,,,,,,官杀全无（夫星虚）、夫妻宫破——婚而不久,官杀全无（夫星虚）+ 夫妻宫破 → 婚而不久（0013）,《渊海子平》女命章：官杀全无主夫缘虚 + 《三命通会》夫妻宫破主婚而不久,
hun_202,婚姻状态,female,,,,0,,,,,,1,0,,,,,,,,,,,,,,官杀全无、无桃花——夫缘虚之象（独身/婚缘淡薄/婚恋不显）,官杀全无 + 无桃花 → 夫缘虚之象（独身/婚缘淡薄）（《渊海子平》女命无官杀主夫缘不显）；桃花旺者外情走离异（0013 桃花1离异 vs 0129 桃花0）。注：传统命理不断性向——婚恋取向属现代延伸，非经典断语，不作推断,《渊海子平》女命无官杀主夫缘不显）,
hun_203,婚姻状态,female,,,,,,,,1,,,,1,,,,,,,,,,,,,伤官透干克官杀——夫星受克，夫缘不永（克夫/夫早亡）,伤官透干克官杀 → 夫星受克（夫早亡/克夫）（0122）,《渊海子平》伤官见官：女命伤官透干克官杀主克夫/夫早亡,
hun_204,婚姻状态,female,,,,,,,,,,1,,1,,,,,,,,,,,,,女命官杀全无（夫缘虚）、伤官克官（克夫）——两象叠加，难婚独身之象,女命官杀全无（夫缘虚）+ 伤官克官（克夫）→ 两象叠加主独身难婚（《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）；配偶星得地者不在此列（得地=夫星实，已婚/克夫而非独身）,《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）,
hun_205,婚姻状态,female,,,,,,1,,1,,,,0,0,0,,,,,,,,,,,官杀混杂（得地）——夫星不专，婚姻多波折,官杀混杂（≥3且得地）→ 夫星不专，婚姻多波折（M7，《渊海子平》官杀混杂）,《渊海子平》官杀混杂）,
hun_206,婚姻状态,female,0,,,0,,0,1,1,,,,0,0,0,,,,,,,,,,,官杀藏支弱且失令、比劫旺抗官——婚缘难成（恋情多但难婚）,官杀藏支弱且失令 + 比劫旺抗官 → 婚缘难成（恋情多但难婚）；官杀得令者夫星有力不在此列（0073/0143）,《渊海子平》女命章：官杀藏支弱而比劫抗官主婚缘难成,
hun_207,婚姻状态,female,,1,,1,,,,1,,,,,,,,,,,,,,,,,官杀得地但受克、夫妻宫破——婚变之象（比劫抗官+宫破）,官杀得地但受克 + 夫妻宫破 → 婚变（比劫抗官+宫破）,《渊海子平》女命章 + 《三命通会》夫妻宫论：官杀受克而夫妻宫破主婚变,
hun_208,婚姻状态,female,,,,,,,,1,,,,,,0,0,,,,,,,,,,官杀得地、无食伤克官、无寡宿——夫星得地，婚姻正常,官杀得地 + 无食伤克官 + 无寡宿 → 夫星得地婚姻正常（《渊海子平》官杀得地主婚成）；食伤克官者夫星被制（0122 夫早亡）、寡宿者婚姻孤（0035 桃花+寡宿离异）,《渊海子平》官杀得地主婚成）,
hun_209,婚姻状态,female,,0,,,,,,0,,0,,,,,,,,,,,,,,,官杀存而不得地、不受克——夫星平常但婚姻正常,官杀存而不得地、不受克 → 夫星平常但婚姻正常（0054）,《渊海子平》女命章：官杀存而不得地主夫星平常但婚姻正常,
hun_210,婚姻状态,female,,,,,,,,,,1,1,,,,,,,,,,,,,,女命食伤旺克夫星、官杀不现、桃花引婚恋——有婚而克夫,女命食伤旺克夫星 + 官杀不现 + 桃花红鸾引婚恋 → 有婚而克夫，婚变离异（《女命赋》食伤重者克夫；《三命通会》桃花主外情；0013 食伤5+桃花红鸾）,《女命赋》食伤重者克夫；《三命通会》桃花主外情,1
hun_407,婚姻质量,,,,,,,,,1,,,,,,,0,,,,,,,1,1,,配偶星为用 + 得地 + 夫妻宫安静 + 无寡宿——配偶优秀且助益（寡宿主孤者婚缘迟——不判婚姻好）,星宫同参+喜忌（参考 mingli-skills phase6 6.3：配偶星为喜用+坐夫妻宫→上等婚姻；《滴天髓》用神为枢）,《滴天髓》用神为枢）,
hun_408,婚姻质量,,,,,,,,,1,,,,,,,,,,,,,,,,1,配偶星为忌但得地——配偶条件一般但尚稳,星宫同参（参考 mingli-skills phase6：配偶星为忌+宫位安静→中等）,《三命通会》星宫同参：配偶星为忌而夫（妻）星得地主中等婚姻,
hun_409,婚姻质量,,,,,,,,,,,,,,,,,1,,,,,,,,1,配偶星为忌 + 夫妻宫被冲——配偶不利且婚姻不稳,星宫同参（参考 mingli-skills phase6：配偶星为忌+宫位被冲→高危婚姻）,《三命通会》星宫同参：配偶星为忌而夫妻宫被冲主高危婚姻,
hun_211,婚姻状态,female,,,,,,,,,,,1,,,,1,,,,,,,,,,女命桃花（异性缘外情）、寡宿（婚姻孤独不利）——婚内外情，终至离异,女命桃花（异性缘外情）+ 寡宿（婚姻孤独不利）→ 婚内外情，终至离异（《三命通会》桃花煞主淫奔、寡宿主孤；0035 桃花+寡宿外遇离婚）,《三命通会》桃花煞主淫奔、寡宿主孤,
hun_401,婚姻质量,,,,,,,,,,,,,,,,,1,,,,,,,,,夫妻宫被冲 → 婚姻波折（多婚/不稳信号）,夫妻宫逢冲主波折（《三命通会》夫妻宫论；参考 mingli-skills phase6 6.3）,《三命通会》夫妻宫论,
hun_402,婚姻质量,,,,,,,,,,,,,,,,,,1,,,,,,,,夫妻宫被合 → 配偶心不在家/他人介入,夫妻宫逢合主配偶心移（《三命通会》；参考 mingli-skills phase6）,《三命通会》,
hun_403,婚姻质量,,,,,,,,,,,,,,,,,,,1,,,,,,,夫妻宫被刑 → 婚姻矛盾/痛苦,夫妻宫逢刑主矛盾（《三命通会》；参考 mingli-skills phase6）,《三命通会》,
hun_404,配偶特征,,,,,,,,,,,,,,,,,,,,1,,,,,,日支四桃花（子午卯酉）→ 配偶貌好/有能力/有魅力,四桃花日支主配偶相貌好（参考 mingli-skills phase6 6.3 配偶特征）,《三命通会》四桃花论：日支子午卯酉主配偶貌好有魅力,
hun_405,配偶特征,,,,,,,,,,,,,,,,,,,,,1,,,,,日支四驿马（寅申巳亥）→ 配偶相貌中等但精明能干/善交际,四驿马日支主配偶能干（参考 mingli-skills phase6 6.3）,《三命通会》四驿马论：日支寅申巳亥主配偶精明能干,
hun_406,配偶特征,,,,,,,,,,,,,,,,,,,,,,1,,,,日支四墓库（辰戌丑未）→ 配偶朴素务实/踏实肯干,四墓库日支主配偶踏实（参考 mingli-skills phase6 6.3）,《三命通会》四墓库论：日支辰戌丑未主配偶朴素务实,
hun_408b,婚姻状态,,,,0,,,0,,1,,,,,,,1,,,,,,,,,,寡宿临命 + 配偶星得地 + 大运无引动 + 不混杂——婚缘迟/独身倾向（寡宿主孤；混杂者妻缘杂不主独身——0054 已婚）,寡宿华盖主孤——婚缘迟独身（《三命通会》寡宿主孤）,《三命通会》寡宿主孤,
