factor_id,shushi,group_id,term_index,kind,expression,expected,basis
食伤泄秀,bazi,1,2,condition,"直读[yongshen.fu_yi.qiangruo,身强]",1,身强食伤泄秀（《滴天髓》秀气流通）
财星透,bazi,1,1,condition,透[财星],1,财透干（事实）
财星旺,bazi,1,1,factor_ref,财星得令,1,财旺衰从五行月令（《子平真诠》）
财星旺,bazi,2,1,factor_ref,财星透根,1,财旺衰从五行月令（《子平真诠》）
财星弱,bazi,1,1,condition,得令[财星],0,财星现但失令无根
财星弱,bazi,1,2,condition,有根[财星],0,财星现但失令无根
财星弱,bazi,1,3,condition,现[财星],1,财星现但失令无根
财星透根,bazi,1,1,condition,有根[财星],1,财透干且有根，财气通门户（《滴天髓》）
财星透根,bazi,1,2,condition,透[财星],1,财透干且有根，财气通门户（《滴天髓》）
财星得令,bazi,1,1,condition,得令[财星],1,财得月令（得令标记）
配偶星透,bazi,1,1,condition,透[配偶星],1,"配偶星透干为显（《渊海子平》""财星透干方为妻星得地""）"
配偶星藏,bazi,1,1,condition,藏[配偶星],1,配偶星藏支为待（命理通论）
配偶星得地,bazi,1,1,condition,有根[配偶星],1,配偶星得地有根（命理通论）
正财透,bazi,1,1,condition,透[正财],1,正财透干（稳定收入信号）
偏财透,bazi,1,1,condition,透[偏财],1,偏财透干（投资/副业信号）
财星得地,bazi,1,1,condition,有根[财星],1,财星得地有根（命理通论）——房产置业看财星
夫妻宫被冲,bazi,1,1,condition,夫妻宫状态[冲],1,日支（夫妻宫）被六冲——婚姻波折（《三命通会》夫妻宫论；参考 mingli-skills phase6）
夫妻宫被合,bazi,1,1,condition,夫妻宫状态[合],1,日支被六合——配偶心不在家/他人介入（《三命通会》；参考 mingli-skills phase6）
夫妻宫被刑,bazi,1,1,condition,夫妻宫状态[刑],1,日支被刑——婚姻矛盾（《三命通会》；参考 mingli-skills phase6）
夫妻宫安静,bazi,1,1,condition,夫妻宫状态[静],1,日支安静——婚姻稳定（《三命通会》；参考 mingli-skills phase6）
财库现,bazi,1,1,direct,财库现[],,日干财星五行之墓库支（金库丑/木库未/水库辰/火库戌/土库辰）在命局——《三命通会》财库论
财星入墓,bazi,1,1,direct,财星入墓[],,财星坐墓库支（财藏库中——蓄财）——《三命通会》财库论
配偶星得令,bazi,1,1,condition,得令[配偶星],1,配偶星得月令（夫/妻星得令有力——得令者夫星强，不轻断婚缘难成）（《子平真诠》月令司权）
配偶星受克,bazi,1,1,condition,克者旺[配偶星],1,克配偶星者旺，配偶星现但不得地
配偶星受克,bazi,1,2,factor_ref,配偶星得地,0,克配偶星者旺，配偶星现但不得地
配偶星受克,bazi,1,3,factor_ref,配偶星现,1,克配偶星者旺，配偶星现但不得地
配偶星混杂,bazi,1,1,condition,现[偏财],1,配偶星正偏并见（男看财星，女看官杀）
配偶星混杂,bazi,1,2,condition,现[正财],1,配偶星正偏并见（男看财星，女看官杀）
配偶星混杂,bazi,1,3,condition,"直读[gender,male]",1,配偶星正偏并见（男看财星，女看官杀）
配偶星混杂,bazi,2,1,condition,现[七杀],1,配偶星正偏并见（男看财星，女看官杀）
配偶星混杂,bazi,2,2,condition,现[正官],1,配偶星正偏并见（男看财星，女看官杀）
配偶星混杂,bazi,2,3,condition,"直读[gender,female]",1,配偶星正偏并见（男看财星，女看官杀）
子女星得地,bazi,1,1,condition,有根[子女星],1,子女星得地（命理通论）
伤官克官,bazi,1,1,condition,"克[伤官,正官]",1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,1,2,condition,得令[伤官],1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,1,3,condition,"直读[gender,female]",1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,2,1,condition,"克[伤官,正官]",1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,2,2,condition,有根[伤官],1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,2,3,condition,"直读[gender,female]",1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,2,4,condition,透[伤官],1,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
枭神夺食,bazi,1,1,condition,"克[印,食伤]",1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,1,2,condition,得令[印星],1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,1,3,condition,现[食伤],1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,2,1,condition,"克[印,食伤]",1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,2,2,condition,有根[印星],1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,2,3,condition,现[食伤],1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,2,4,condition,透[印星],1,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
羊刃驾杀,bazi,1,1,factor_ref,七杀旺,1,月刃格与七杀旺相配（《子平真诠》羊刃驾杀）
羊刃驾杀,bazi,1,2,factor_ref,月令格,月刃格,月刃格与七杀旺相配（《子平真诠》羊刃驾杀）
伤官见官,bazi,1,1,condition,现[伤官],1,伤官见官无印通关则破（《三命通会》）
伤官见官,bazi,1,2,condition,现[正印],0,伤官见官无印通关则破（《三命通会》）
伤官见官,bazi,1,3,condition,现[正官],1,伤官见官无印通关则破（《三命通会》）
伤官见官,bazi,1,4,factor_ref,食伤旺,1,伤官见官无印通关则破（《三命通会》）
官印相生,bazi,1,1,condition,透[印星],1,官印相生（《子平真诠》）
官印相生,bazi,1,2,condition,透[官杀],1,官印相生（《子平真诠》）
比劫夺财,bazi,1,1,factor_ref,比劫旺,1,比劫旺而财星弱，财被比劫所夺
比劫夺财,bazi,1,2,factor_ref,财星弱,1,比劫旺而财星弱，财被比劫所夺
比劫夺财,bazi,1,3,factor_ref,财星现,1,比劫旺而财星弱，财被比劫所夺
食伤生财,bazi,1,1,condition,有根[财星],1,食伤生财=食伤透而财有根（《滴天髓》食伤生财）
食伤生财,bazi,1,2,condition,透[食伤],1,食伤生财=食伤透而财有根（《滴天髓》食伤生财）
财坏印,bazi,1,1,condition,"克[财,印]",1,财透干克印为实坏印（《渊海子平》财坏印）——财藏支虚克不坏印（财不透则印不受实克，官印相生仍可成学；0006 财藏大学 vs 0025 财透中学）
财坏印,bazi,1,2,condition,透[财星],1,财透干克印为实坏印（《渊海子平》财坏印）——财藏支虚克不坏印（财不透则印不受实克，官印相生仍可成学；0006 财藏大学 vs 0025 财透中学）
财印相战,bazi,1,1,condition,现[印星],1,财印相战=财印并见（命理通论）
财印相战,bazi,1,2,condition,现[财星],1,财印相战=财印并见（命理通论）
月令格,bazi,1,1,direct,"直读[yongshen.ge_ju.ge_ju,任意]",,月令取格（《子平真诠》）
格神透干,bazi,1,1,condition,格神透[],1,格神透干成格（《子平真诠》）
寒局无火,bazi,1,1,condition,"直读[yongshen.tiao_hou.season,冬]",1,冬生无火为寒局（《穷通宝鉴》调候）
寒局无火,bazi,1,2,condition,缺[火],1,冬生无火为寒局（《穷通宝鉴》调候）
燥局无水,bazi,1,1,condition,"直读[yongshen.tiao_hou.season,夏]",1,夏生无水为燥局（《穷通宝鉴》调候）
燥局无水,bazi,1,2,condition,缺[水],1,夏生无水为燥局（《穷通宝鉴》调候）
日主五行,bazi,1,1,direct,"直读[ri_gan_wx,任意]",,引擎日干五行
年柱官杀攻身,bazi,1,1,condition,年柱官杀[],1,年柱官杀坐年攻身（命理通论）
天机独坐夫妻宫,ziwei,1,1,condition,"宫含[夫妻宫,天机,唯一主星]",1,天机独坐夫妻宫姻缘淡薄（《紫微斗数》）
贪狼化忌,ziwei,1,1,condition,"宫含[本命,贪狼,化忌]",1,贪狼化忌桃花受阻（《紫微斗数》）
疾厄宫化忌,ziwei,1,1,condition,"宫含[疾厄宫,任意,化忌]",1,疾厄宫化忌主疾（《紫微斗数》）
疾厄宫主星陷,ziwei,1,1,condition,"宫含[疾厄宫,紫微主星,落陷]",1,疾厄宫主星落陷
财帛宫煞,ziwei,1,1,condition,"宫含[财帛宫,煞星,任意]",1,财帛宫见煞（《紫微斗数》）
子女宫空,ziwei,1,1,condition,"宫含[子女宫,无主星,任意]",1,子女宫空（《紫微斗数》）
子女宫煞,ziwei,1,1,condition,"宫含[子女宫,煞星,任意]",1,子女宫煞（擎羊陀罗等）主刑克损子（《紫微斗数全书》子女宫论；0084 擎羊仅一子）
子女宫吉星,ziwei,1,1,condition,"宫含[子女宫,紫微六吉星,任意]",1,子女宫有任一六吉星（《紫微斗数全书》六吉入宫）
子女宫化忌,ziwei,1,1,condition,"宫含[子女宫,任意,化忌]",1,子女宫化忌主子女缘薄/刑克操心（《紫微斗数全书》子女宫四化论）
命宫紫微,ziwei,1,1,condition,"宫含[命宫,紫微,任意]",1,命宫紫微坐命（《紫微斗数全书》主星论）
命宫天机,ziwei,1,1,condition,"宫含[命宫,天机,任意]",1,命宫天机坐命（《紫微斗数全书》主星论）
命宫太阳,ziwei,1,1,condition,"宫含[命宫,太阳,任意]",1,命宫太阳坐命（《紫微斗数全书》主星论）
命宫武曲,ziwei,1,1,condition,"宫含[命宫,武曲,任意]",1,命宫武曲坐命（《紫微斗数全书》主星论）
命宫天同,ziwei,1,1,condition,"宫含[命宫,天同,任意]",1,命宫天同坐命（《紫微斗数全书》主星论）
命宫廉贞,ziwei,1,1,condition,"宫含[命宫,廉贞,任意]",1,命宫廉贞坐命（《紫微斗数全书》主星论）
命宫天府,ziwei,1,1,condition,"宫含[命宫,天府,任意]",1,命宫天府坐命（《紫微斗数全书》主星论）
命宫太阴,ziwei,1,1,condition,"宫含[命宫,太阴,任意]",1,命宫太阴坐命（《紫微斗数全书》主星论）
命宫贪狼,ziwei,1,1,condition,"宫含[命宫,贪狼,任意]",1,命宫贪狼坐命（《紫微斗数全书》主星论）
命宫巨门,ziwei,1,1,condition,"宫含[命宫,巨门,任意]",1,命宫巨门坐命（《紫微斗数全书》主星论）
命宫天相,ziwei,1,1,condition,"宫含[命宫,天相,任意]",1,命宫天相坐命（《紫微斗数全书》主星论）
命宫天梁,ziwei,1,1,condition,"宫含[命宫,天梁,任意]",1,命宫天梁坐命（《紫微斗数全书》主星论）
命宫七杀,ziwei,1,1,condition,"宫含[命宫,七杀,任意]",1,命宫七杀坐命（《紫微斗数全书》主星论）
命宫破军,ziwei,1,1,condition,"宫含[命宫,破军,任意]",1,命宫坐破军（《紫微斗数全书》命宫论）
官禄宫化禄,ziwei,1,1,condition,"宫含[官禄宫,任意,化禄]",1,官禄宫化禄主事业顺遂有成（《紫微斗数全书》官禄宫四化论）
官禄宫煞,ziwei,1,1,condition,"宫含[官禄宫,煞星,任意]",1,官禄宫煞主事业波折（《紫微斗数全书》官禄宫论）
官禄宫昌曲,ziwei,1,1,condition,"宫含[官禄宫,紫微文星,任意]",1,官禄宫有文昌或文曲，主文书文职
父母宫煞,ziwei,1,1,condition,"宫含[父母宫,煞星,任意]",1,父母宫煞主父母缘薄/刑克（《紫微斗数全书》父母宫论）
父母宫化忌,ziwei,1,1,condition,"宫含[父母宫,任意,化忌]",1,父母宫化忌主父母缘薄/操心（《紫微斗数全书》父母宫四化论）
兄弟宫煞,ziwei,1,1,condition,"宫含[兄弟宫,煞星,任意]",1,兄弟宫煞主兄弟缘薄/不睦（《紫微斗数全书》兄弟宫论）
仆役宫煞,ziwei,1,1,condition,"宫含[仆役宫,煞星,任意]",1,仆役宫煞主朋友/下属不利（《紫微斗数全书》仆役宫论）
田宅宫化禄,ziwei,1,1,condition,"宫含[田宅宫,任意,化禄]",1,田宅宫化禄主房产丰盈、置业顺利（《紫微斗数全书》田宅宫四化论）
田宅宫煞,ziwei,1,1,condition,"宫含[田宅宫,煞星,任意]",1,田宅宫煞（擎羊陀罗火星铃星）主房产破败/变动（《紫微斗数全书》）
桃花,bazi,1,1,condition,"含[shen_sha,桃花]",1,桃花主异性缘（《三命通会》）
华盖,bazi,1,1,condition,"含[shen_sha,华盖]",1,华盖主孤高玄学（《三命通会》）
驿马,bazi,1,1,condition,"含[shen_sha,驿马]",1,驿马主动迁（《三命通会》）
迁移宫空,ziwei,1,1,condition,"宫含[迁移宫,无主星,任意]",1,迁移宫无主星主外出无靠、宜守（《紫微斗数全书》迁移宫论）
迁移宫化禄,ziwei,1,1,condition,"宫含[迁移宫,任意,化禄]",1,迁移宫化禄主外出发展有利（《紫微斗数全书》迁移宫四化论）
羊刃,bazi,1,1,condition,"含[shen_sha,羊刃]",1,羊刃主刚烈（《三命通会》）
孤辰寡宿,bazi,1,1,condition,"含[shen_sha,孤辰或寡宿]",1,孤辰寡宿主孤（《三命通会》）
寡宿,bazi,1,1,condition,"含[shen_sha,寡宿]",1,寡宿主孤独、婚姻不利（《三命通会》）
大运配偶星,bazi,1,1,condition,"大运十神[当前,配偶星]",1,大运走配偶星运（婚姻窗口）
官杀取清,bazi,1,1,direct,官杀取清[],,"官杀混杂取清（《子平真诠》""官杀混杂取清为贵""）：克我（官杀）柱被六合/六冲 → 合杀留官/冲去多余 → 由浊转清"
官杀为用,bazi,1,1,condition,为用[官杀],1,官杀五行属用神/喜神——官杀为用（《滴天髓》用神为枢；引擎五神体系）
官杀为忌,bazi,1,1,condition,为忌[官杀],1,官杀五行属忌神——官杀为忌
财星为用,bazi,1,1,condition,为用[财星],1,财五行属用神/喜神——财为用
财星为忌,bazi,1,1,condition,为忌[财星],1,财五行属忌神——财为忌（富屋贫人）
印为用,bazi,1,1,condition,为用[印星],1,印五行属用神/喜神——印为用
印为忌,bazi,1,1,condition,为忌[印星],1,印五行属忌神——印为忌
食伤为用,bazi,1,1,condition,为用[食伤],1,食伤五行属用神/喜神——食伤为用（泄秀）
食伤为忌,bazi,1,1,condition,为忌[食伤],1,食伤五行属忌神——食伤为忌
比劫为用,bazi,1,1,condition,为用[比劫],1,比劫五行属用神/喜神——比劫为用（帮身）
比劫为忌,bazi,1,1,condition,为忌[比劫],1,比劫五行属忌神——比劫为忌（夺财）
配偶星为用,bazi,1,1,condition,"直读[gender,male]",1,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为用,bazi,1,2,factor_ref,财星为用,1,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为用,bazi,2,1,factor_ref,官杀为用,1,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为用,bazi,2,2,condition,"直读[gender,female]",1,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为忌,bazi,1,1,condition,"直读[gender,male]",1,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
配偶星为忌,bazi,1,2,factor_ref,财星为忌,1,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
配偶星为忌,bazi,2,1,factor_ref,官杀为忌,1,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
配偶星为忌,bazi,2,2,condition,"直读[gender,female]",1,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
印星得地,bazi,1,1,condition,有根[印星],1,印星得地有根（《渊海子平》印绶喜得地）
印星得令,bazi,1,1,condition,得令[印星],1,印星得月令（《子平真诠》印绶喜得令）
财帛宫紫微,ziwei,1,1,condition,"宫含[财帛宫,紫微,任意]",1,财帛宫坐紫微（《紫微斗数全书》财帛宫论）
财帛宫天机,ziwei,1,1,condition,"宫含[财帛宫,天机,任意]",1,财帛宫坐天机（《紫微斗数全书》财帛宫论）
财帛宫太阳,ziwei,1,1,condition,"宫含[财帛宫,太阳,任意]",1,财帛宫坐太阳（《紫微斗数全书》财帛宫论）
财帛宫武曲,ziwei,1,1,condition,"宫含[财帛宫,武曲,任意]",1,财帛宫坐武曲（《紫微斗数全书》财帛宫论）
财帛宫天同,ziwei,1,1,condition,"宫含[财帛宫,天同,任意]",1,财帛宫坐天同（《紫微斗数全书》财帛宫论）
财帛宫廉贞,ziwei,1,1,condition,"宫含[财帛宫,廉贞,任意]",1,财帛宫坐廉贞（《紫微斗数全书》财帛宫论）
财帛宫天府,ziwei,1,1,condition,"宫含[财帛宫,天府,任意]",1,财帛宫坐天府（《紫微斗数全书》财帛宫论）
财帛宫太阴,ziwei,1,1,condition,"宫含[财帛宫,太阴,任意]",1,财帛宫坐太阴（《紫微斗数全书》财帛宫论）
财帛宫贪狼,ziwei,1,1,condition,"宫含[财帛宫,贪狼,任意]",1,财帛宫坐贪狼（《紫微斗数全书》财帛宫论）
财帛宫巨门,ziwei,1,1,condition,"宫含[财帛宫,巨门,任意]",1,财帛宫坐巨门（《紫微斗数全书》财帛宫论）
财帛宫天相,ziwei,1,1,condition,"宫含[财帛宫,天相,任意]",1,财帛宫坐天相（《紫微斗数全书》财帛宫论）
财帛宫天梁,ziwei,1,1,condition,"宫含[财帛宫,天梁,任意]",1,财帛宫坐天梁（《紫微斗数全书》财帛宫论）
财帛宫七杀,ziwei,1,1,condition,"宫含[财帛宫,七杀,任意]",1,财帛宫坐七杀（《紫微斗数全书》财帛宫论）
财帛宫破军,ziwei,1,1,condition,"宫含[财帛宫,破军,任意]",1,财帛宫坐破军（《紫微斗数全书》财帛宫论）
官禄宫紫微,ziwei,1,1,condition,"宫含[官禄宫,紫微,任意]",1,官禄宫坐紫微（《紫微斗数全书》官禄宫论）
官禄宫天机,ziwei,1,1,condition,"宫含[官禄宫,天机,任意]",1,官禄宫坐天机（《紫微斗数全书》官禄宫论）
官禄宫太阳,ziwei,1,1,condition,"宫含[官禄宫,太阳,任意]",1,官禄宫坐太阳（《紫微斗数全书》官禄宫论）
官禄宫武曲,ziwei,1,1,condition,"宫含[官禄宫,武曲,任意]",1,官禄宫坐武曲（《紫微斗数全书》官禄宫论）
官禄宫天同,ziwei,1,1,condition,"宫含[官禄宫,天同,任意]",1,官禄宫坐天同（《紫微斗数全书》官禄宫论）
官禄宫廉贞,ziwei,1,1,condition,"宫含[官禄宫,廉贞,任意]",1,官禄宫坐廉贞（《紫微斗数全书》官禄宫论）
官禄宫天府,ziwei,1,1,condition,"宫含[官禄宫,天府,任意]",1,官禄宫坐天府（《紫微斗数全书》官禄宫论）
官禄宫太阴,ziwei,1,1,condition,"宫含[官禄宫,太阴,任意]",1,官禄宫坐太阴（《紫微斗数全书》官禄宫论）
官禄宫贪狼,ziwei,1,1,condition,"宫含[官禄宫,贪狼,任意]",1,官禄宫坐贪狼（《紫微斗数全书》官禄宫论）
官禄宫巨门,ziwei,1,1,condition,"宫含[官禄宫,巨门,任意]",1,官禄宫坐巨门（《紫微斗数全书》官禄宫论）
官禄宫天相,ziwei,1,1,condition,"宫含[官禄宫,天相,任意]",1,官禄宫坐天相（《紫微斗数全书》官禄宫论）
官禄宫天梁,ziwei,1,1,condition,"宫含[官禄宫,天梁,任意]",1,官禄宫坐天梁（《紫微斗数全书》官禄宫论）
官禄宫七杀,ziwei,1,1,condition,"宫含[官禄宫,七杀,任意]",1,官禄宫坐七杀（《紫微斗数全书》官禄宫论）
官禄宫破军,ziwei,1,1,condition,"宫含[官禄宫,破军,任意]",1,官禄宫坐破军（《紫微斗数全书》官禄宫论）
夫妻宫紫微,ziwei,1,1,condition,"宫含[夫妻宫,紫微,任意]",1,夫妻宫坐紫微（《紫微斗数全书》夫妻宫论）
夫妻宫天机,ziwei,1,1,condition,"宫含[夫妻宫,天机,任意]",1,夫妻宫坐天机（《紫微斗数全书》夫妻宫论）
夫妻宫太阳,ziwei,1,1,condition,"宫含[夫妻宫,太阳,任意]",1,夫妻宫坐太阳（《紫微斗数全书》夫妻宫论）
夫妻宫武曲,ziwei,1,1,condition,"宫含[夫妻宫,武曲,任意]",1,夫妻宫坐武曲（《紫微斗数全书》夫妻宫论）
夫妻宫天同,ziwei,1,1,condition,"宫含[夫妻宫,天同,任意]",1,夫妻宫坐天同（《紫微斗数全书》夫妻宫论）
夫妻宫廉贞,ziwei,1,1,condition,"宫含[夫妻宫,廉贞,任意]",1,夫妻宫坐廉贞（《紫微斗数全书》夫妻宫论）
夫妻宫天府,ziwei,1,1,condition,"宫含[夫妻宫,天府,任意]",1,夫妻宫坐天府（《紫微斗数全书》夫妻宫论）
夫妻宫太阴,ziwei,1,1,condition,"宫含[夫妻宫,太阴,任意]",1,夫妻宫坐太阴（《紫微斗数全书》夫妻宫论）
夫妻宫贪狼,ziwei,1,1,condition,"宫含[夫妻宫,贪狼,任意]",1,夫妻宫坐贪狼（《紫微斗数全书》夫妻宫论）
夫妻宫巨门,ziwei,1,1,condition,"宫含[夫妻宫,巨门,任意]",1,夫妻宫坐巨门（《紫微斗数全书》夫妻宫论）
夫妻宫天相,ziwei,1,1,condition,"宫含[夫妻宫,天相,任意]",1,夫妻宫坐天相（《紫微斗数全书》夫妻宫论）
夫妻宫天梁,ziwei,1,1,condition,"宫含[夫妻宫,天梁,任意]",1,夫妻宫坐天梁（《紫微斗数全书》夫妻宫论）
夫妻宫七杀,ziwei,1,1,condition,"宫含[夫妻宫,七杀,任意]",1,夫妻宫坐七杀（《紫微斗数全书》夫妻宫论）
夫妻宫破军,ziwei,1,1,condition,"宫含[夫妻宫,破军,任意]",1,夫妻宫坐破军（《紫微斗数全书》夫妻宫论）
疾厄宫紫微,ziwei,1,1,condition,"宫含[疾厄宫,紫微,任意]",1,疾厄宫坐紫微（《紫微斗数全书》疾厄宫论）
疾厄宫天机,ziwei,1,1,condition,"宫含[疾厄宫,天机,任意]",1,疾厄宫坐天机（《紫微斗数全书》疾厄宫论）
疾厄宫太阳,ziwei,1,1,condition,"宫含[疾厄宫,太阳,任意]",1,疾厄宫坐太阳（《紫微斗数全书》疾厄宫论）
