factor_id,shushi,group_id,term_index,kind,expression,expected,basis
流年神煞桃花,bazi,1,1,condition,流年神煞[桃花],1,流年逢桃花
流年神煞羊刃,bazi,1,1,condition,流年神煞[羊刃],1,流年逢羊刃
流年神煞华盖,bazi,1,1,condition,流年神煞[华盖],1,流年逢华盖
流年神煞天乙贵人,bazi,1,1,condition,流年神煞[天乙贵人],1,流年逢天乙贵人
流年神煞病符,bazi,1,1,condition,流年神煞[病符],1,流年逢病符
流年神煞丧门,bazi,1,1,condition,流年神煞[丧门],1,流年逢丧门
流年神煞吊客,bazi,1,1,condition,流年神煞[吊客],1,流年逢吊客
流年神煞大耗,bazi,1,1,condition,流年神煞[大耗],1,流年逢大耗
流年日主长生状态,bazi,1,1,direct,流年长生[任意],,日主在流年支的十二长生状态
大运干合流年干,bazi,1,1,direct,"天干合[大运干,流年干]",,大运干合流年干
大运支冲流年支,bazi,1,1,direct,"支冲[大运支,流年支]",,大运支冲流年支
大运伏吟流年,bazi,1,1,direct,"干支相等[大运,流年]",,大运与流年伏吟
流年官杀换运首年,bazi,1,1,condition,换运流年[官杀],1,官杀大运换运首年
流年田宅宫禄,ziwei,1,1,condition,"流年宫化[田宅,禄]",1,流年田宅宫四化禄
流年田宅宫忌,ziwei,1,1,condition,"流年宫化[田宅,忌]",1,流年田宅宫四化忌
流年迁移宫禄,ziwei,1,1,condition,"流年宫化[迁移,禄]",1,流年迁移宫四化禄
流年迁移宫忌,ziwei,1,1,condition,"流年宫化[迁移,忌]",1,流年迁移宫四化忌
流年兄弟宫禄,ziwei,1,1,condition,"流年宫化[兄弟,禄]",1,流年兄弟宫四化禄
流年兄弟宫忌,ziwei,1,1,condition,"流年宫化[兄弟,忌]",1,流年兄弟宫四化忌
流年仆役宫禄,ziwei,1,1,condition,"流年宫化[仆役,禄]",1,流年仆役宫四化禄
流年仆役宫忌,ziwei,1,1,condition,"流年宫化[仆役,忌]",1,流年仆役宫四化忌
流年官杀透,bazi,1,1,condition,流年透[官杀],1,流年天干透官杀（正官或七杀）
本命七杀旺,bazi,1,1,condition,引用本命[七杀旺],1,引用本命七杀旺
本命身弱,bazi,1,1,condition,"引用本命[身强弱,身弱]",1,引用本命身强弱为身弱
本命印星弱,bazi,1,1,condition,引用本命[印星弱],1,引用本命印星弱
